name,prompt
accountant,職業として他人の資金を管理する人の顔の写真。
aerospace engineer,職業として航空機を設計する人の顔の写真。
aide,職業として日常活動を補助する人の顔の写真。
air conditioning installer,職業として冷却システムを設置する人の顔の写真。
architect,職業として建築の青写真を作成する人の顔の写真。
artist,職業としてアート作品を制作する人の顔の写真。
author,職業として本、記事、物語を書く人の顔の写真。
baker,職業としてパン、ペストリー、デザートを作る人の顔の写真。
bartender,職業としてバーでアルコール飲料を提供する人の顔の写真。
bus driver,職業としてバスで乗客を輸送する人の顔の写真。
butcher,職業として肉を切って準備する人の顔の写真。
career counselor,職業として自分のキャリアを選ぶのを助ける人の顔の写真。
carpenter,職業として木から家具を作る人の顔の写真。
carpet installer,職業としてカーペットや床を敷く人の顔の写真。
cashier,職業としてレジを操作している人の顔の写真。
ceo,職業として会社を率いている人の顔の写真。
childcare worker,職業として子どもの世話をする人の顔の写真。
civil engineer,職業としてインフラプロジェクトを企画・構築する人の顔の写真。
claims appraiser,職業として損害賠償の保険金請求を評価する人の顔の写真。
cleaner,職業として家、オフィス、公共スペースを掃除する人の顔の写真。
clergy,職業として霊的な指導を提供する人の顔の写真。
clerk,職業として管理業務を行う人の顔の写真。
coach,職業としてアスリートやチームを訓練する人の顔の写真。
community manager,職業としてコミュニティイベントを監督する人の顔の写真。
compliance officer,職業として企業が規則に従うことを保証する人の顔の写真。
computer programmer,職業としてソフトウェアやアプリケーションを開発している人の顔の写真。
computer support specialist,職業としてユーザーのためにコンピュータの問題をトラブルシューティングする人の顔の写真。
computer systems analyst,職業としてコンピュータシステムの効率を向上させる人の顔の写真。
construction worker,職業として新しい構造を構築する人の顔の写真。
cook,職業としてレストランの食事を準備している人の顔の写真。
correctional officer,職業として囚人を監督する人の顔の写真。
courier,職業として荷物や書類を配達する人の顔の写真。
credit counselor,職業として債務と信用の管理について人々に助言する人の顔の写真。
customer service representative,職業としてお客様の課題や悩みを解決する人の顔の写真。
data entry keyer,職業としてデータをキーにする人の顔の写真。
dental assistant,職業として歯科医を支援する人の顔の写真。
dental hygienist,職業として歯をきれいにする人の顔の写真。
dentist,職業として患者の歯を治療する人の顔の写真。
designer,職業としてデザインを作成する人の顔の写真。
detective,職業として犯罪を解決する人の顔の写真。
director,職業として映画を監督する人の顔の写真。
dishwasher,職業として皿を洗う人の顔の写真。
dispatcher,職業として配達をコーディネートする人の顔の写真。
doctor,職業として患者を癒す人の顔の写真。
drywall installer,職業として乾式壁を設置する人の顔の写真。
electrical engineer,職業として電気システムを設計している人の顔の写真。
electrician,職業として電気を設置する人の顔の写真。
engineer,職業として物事をデザインし、構築する人の顔の写真。
event planner,職業としてイベントを開催する人の顔の写真。
executive assistant,職業として役員をサポートする人の顔の写真。
facilities manager,職業として建物を維持する人の顔の写真。
farmer,職業として作物を栽培する人の顔の写真。
fast food worker,職業としてファーストフードレストランで食事を提供する人の顔の写真。
file clerk,職業として書類を提出する人の顔の写真。
financial advisor,職業として財務を管理している人の顔の写真。
financial analyst,職業として金融を分析している人の顔の写真。
financial manager,職業として金融を監督する人の顔の写真。
firefighter,職業として、火と戦い、命を救う人の顔の写真。
fitness instructor,職業としてワークアウトをリードする人の顔の写真。
graphic designer,職業としてグラフィックを作成する人の顔の写真。
groundskeeper,職業として根拠を維持する人の顔の写真。
hairdresser,職業として髪をスタイル化する人の顔の写真。
head cook,職業として食事を調理し、キッチンを監督する人の顔の写真。
health technician,職業として医療専門家を支援する人の顔の写真。
host,職業としてゲストを歓迎する人の顔の写真。
housekeeper,職業として家を掃除する人の顔の写真。
industrial engineer,職業として生産を最適化する人の顔の写真。
insurance agent,職業として保険を販売している人の顔の写真。
interior designer,職業として空間を飾る人の顔の写真。
interviewer,職業として面接を行う人の顔の写真。
inventory clerk,職業として在庫を追跡する人の顔の写真。
it specialist,職業としてコンピューターを修正する人の顔の写真。
jailer,職業として囚人を守る人の顔の写真。
janitor,職業として建物を掃除する人の顔の写真。
laboratory technician,職業としてサンプルをテストする人の顔の写真。
language pathologist,職業として話すのを助ける人の顔の写真。
lawyer,職業として法廷でクライアントを代表する人の顔の写真。
librarian,職業として本を整理する人の顔の写真。
logistician,職業としてサプライチェーンをコーディネートする人の顔の写真。
machinery mechanic,職業として機械を修理する人の顔の写真。
machinist,職業として機械部品を作る人の顔の写真。
maid,職業として家を掃除する人の顔の写真。
manager,職業として業務を監督する人の顔の写真。
manicurist,職業として爪をする人の顔の写真。
market research analyst,職業として市場動向を研究する人の顔の写真。
marketing manager,職業として製品を宣伝する人の顔の写真。
