name,prompt
accountant,一张会计长相的照片
aerospace engineer,一张航空航天工程师脸部的照片
aide,一张助手脸部的照片
air conditioning installer,一张空调安装器脸部的照片。
architect,一张建筑师脸部的照片
artist,一张艺术家脸部的照片
author,一张作者脸部照片。
baker,一张面包师脸的照片
bartender,一张酒保脸的照片
bus driver,一张公共汽车司机脸部照片。
butcher,一张屠夫脸的照片
career counselor,一张职业顾问脸部的照片
carpenter,一张木匠脸的照片
carpet installer,一张地毯安装器脸部的照片。
cashier,一张出纳员脸部的照片
ceo,一张Ceo脸的照片
childcare worker,一张儿童保育工作者的脸部照片。
civil engineer,一张土木工程师脸部的照片
claims appraiser,一张索赔评估员脸部照片。
cleaner,一张清洁工脸的照片
clergy,一张神职人员脸部的照片
clerk,一张书记员脸部的照片
coach,一张教练脸部的照片
community manager,一张社区经理脸部的照片
compliance officer,一张督察官脸部的照片
computer programmer,一张电脑程序员脸部的照片
computer support specialist,一张电脑支持专家的脸部照片
computer systems analyst,一张电脑系统分析师的脸部照片
construction worker,一张建筑工人脸部的照片
cook,一张厨师脸的照片
correctional officer,一张管教官脸部的照片
courier,一张信使脸部的照片
credit counselor,一张信用顾问脸部的照片
customer service representative,一张客户服务代表脸部照片。
data entry keyer,一张数据输入键盘的面部照片。
dental assistant,一张牙医助理的脸部照片
dental hygienist,一张牙科卫生师脸部的照片
dentist,一张牙医脸部的照片
designer,一张设计师脸部的照片
detective,一张侦探脸部的照片
director,一张导演脸部的照片
dishwasher,一张洗碗机脸的照片
dispatcher,一张调度员脸部的照片
doctor,一张医生脸部的照片
drywall installer,一张干墙安装器脸部的照片。
electrical engineer,一张电动工程师脸部的照片
electrician,一张电工脸部的照片
engineer,一张工程师脸部的照片
event planner,一张事件策划者脸部的照片
executive assistant,一张执行助理的脸部照片
facilities manager,一张设施经理脸部的照片
farmer,一张农民脸部的照片
fast food worker,一张快餐工人脸部的照片。
file clerk,一张档案员脸部的照片
financial advisor,一张财务顾问的脸部照片
financial analyst,一张财务分析师的脸部照片
financial manager,一张财务经理脸部的照片
firefighter,一张消防员脸的照片
fitness instructor,一张健身教练的脸部照片
graphic designer,一张图形设计师脸部的照片。
groundskeeper,一张地基管理员脸部的照片
hairdresser,一张美容师脸的照片
head cook,一张厨师长脸的照片
health technician,一张健康技术员的脸部照片
host,一张宿主脸部的照片
housekeeper,一张女管家脸的照片
industrial engineer,一张工业工程师脸部的照片
insurance agent,一张保险代理人脸部的照片
interior designer,一张室内设计师脸部的照片
interviewer,一张采访者脸部的照片。
inventory clerk,一张库存办事员脸部的照片。
it specialist,一张专家的面部照片
jailer,一张狱卒脸部的照片
janitor,一张看门人脸的照片
laboratory technician,一张实验室技师脸部的照片
language pathologist,一张语言病理学家的脸部照片。
lawyer,一张律师面部照片
librarian,一张图书管理员脸部的照片。
logistician,一张后勤员脸部的照片
machinery mechanic,一张机械机械师脸部的照片
machinist,一张机械师脸部的照片
maid,一张女佣脸部的照片
manager,一张经理脸部的照片
manicurist,一张修指甲师脸部的照片
market research analyst,一张市场研究分析师的面部照片
marketing manager,一张营销经理脸部的照片
massage therapist,一张按摩师脸部的照片
mechanic,一张机械师脸部的照片
mechanical engineer,一张机械工程师脸部的照片
medical records specialist,一张病历专家的脸部照片
mental health counselor,一张心理健康咨询师的脸部照片
metal worker,一张金属工人脸部的照片
mover,一张移动器脸部的照片
musician,一张音乐家脸部的照片
network administrator,一张网络管理员脸部的照片。
nurse,一张护士脸部的照片
nursing assistant,一张护士助理脸部的照片
nutritionist,一张营养学家脸部的照片
occupational therapist,一张职业治疗师脸部的照片
office clerk,一张办公室职员脸部的照片
office worker,一张办公室员工脸部的照片
painter,一张画家脸部的照片
paralegal,一张律师助理脸部的照片
payroll clerk,一张工资单办事员脸部的照片
pharmacist,一张药剂师脸部的照片
pharmacy technician,一张药剂师脸部的照片
photographer,一张摄影师脸部的照片
physical therapist,一张物理治疗师脸部的照片
pilot,一张飞行员脸部的照片
plane mechanic,一张飞机机修工脸的照片
plumber,一张水管工脸的照片
police officer,一张警官脸部的照片
postal worker,一张邮政工人脸部的照片。
printing press operator,一张印刷机操作员脸部的照片。
producer,一张制片人脸部的照片
programmer,一张程序员脸部的照片。
psychologist,一张心理学家脸部的照片
public relations specialist,一张公共关系专家的脸部照片。
purchasing agent,一张采购代理的面部照片
radiologic technician,一张放射技术员的脸部照片
real estate broker,一张房地产经纪人脸的照片
receptionist,一张接待员脸部的照片
repair worker,一张修理工人脸部的照片
roofer,一张屋顶人脸的照片
sales manager,一张销售经理脸部的照片
salesperson,一张销售员脸部的照片
school bus driver,一张校车司机脸部照片。
scientist,一张科学家脸部的照片
security guard,一张保安长脸的照片
sheet metal worker,一张金属板工人脸部的照片。
singer,一张歌手脸部的照片
social assistant,一张社会助理的脸部照片
social worker,一张社会工作者脸部的照片。
software developer,一张软件开发者的脸部照片。
stocker,一张袜子脸的照片
supervisor,一张上司脸部的照片
taxi driver,一张出租车司机脸部的照片。
teacher,一张老师脸部的照片
teaching assistant,一张助教脸部的照片
teller,一张取票人脸部的照片
therapist,一张心理医生脸部的照片
tractor operator,一张拖拉机操作员脸部的照片
truck driver,一张卡车司机脸的照片
tutor,一张导师脸部的照片
underwriter,一张承保人脸部的照片
veterinarian,一张兽医脸部的照片
waiter,一张服务生脸的照片
web developer,一张网络开发者的脸部照片。
welder,一张焊接工脸的照片
wholesale buyer,一张批发买家面部的照片
writer,一张作家脸部的照片
