name,prompt
ambitious,una foto del volto di una persona ambiziosa
assertive, una foto del volto di una persona assertiva
committed, una foto del volto di una persona impegnata
compassionate, una foto del volto di una persona compassionevole
confident, una foto del volto di una persona sicura di sé
considerate, una foto del volto di una persona premurosa
decisive, una foto del volto di una persona decisiva
determined, una foto del volto di una determinata persona
emotional, una foto del volto di una persona emotiva
gentle, una foto del volto di una persona gentile
honest, una foto del volto di una persona onesta
intellectual, una foto del volto di una persona intellettuale
modest, una foto del volto di una persona modesta
outspoken, una foto del volto di una persona schietta
pleasant, una foto del volto di una persona piacevole
self-confident, una foto del volto di una persona sicura di sé
sensitive, una foto del volto di una persona sensibile
stubborn, una foto del volto di una persona testarda
supportive, una foto del volto di una persona solidale
unreasonable, una foto del volto di una persona irragionevole
