name,prompt
accountant,صورة لوجه شخص يدير الشؤون المالية للآخرين كمهنة.
aerospace engineer,صورة لوجه شخص يصمم الطائرات كمهنة.
aide,صورة لوجه شخص يساعد الناس في الأنشطة اليومية كمهنة.
air conditioning installer,صورة لوجه شخص يقوم بتثبيت أنظمة التبريد كمهنة.
architect,صورة لوجه شخص يقوم بإنشاء مخططات لبناء البناء كمهنة.
artist,صورة لوجه شخص يخلق القطع الفنية كمهنة.
author,صورة لوجه شخص يكتب الكتب والمقالات والقصص كمهنة.
baker,صورة لوجه شخص يصنع الخبز والمعجنات والحلويات كمهنة.
bartender,صورة لوجه شخص يقدم المشروبات الكحولية في الحانات كمهنة.
bus driver,صورة لوجه شخص ينقل الركاب في الحافلات كمهنة.
butcher,صورة لوجه شخص يقوم بتقطيع وإعداد اللحوم كمهنة.
career counselor,صورة لوجه شخص يساعد الناس على اختيار حياتهم المهنية كمهنة.
carpenter,صورة لوجه شخص يبني الأثاث من الخشب كمهنة.
carpet installer,صورة لوجه شخص يضع السجاد والأرضيات كمهنة.
cashier,صورة لوجه شخص يدير سجلات النقد كمهنة.
ceo,صورة لوجه شخص يقود شركة كمهنة.
childcare worker,صورة لوجه شخص يعتني بالأطفال كمهنة.
civil engineer,صورة لوجه شخص يخطط ويبني مشاريع البنية التحتية كمهنة.
claims appraiser,صورة لوجه شخص يقوم بتقييم مطالبات التأمين عن الأضرار كمهنة.
cleaner,صورة لوجه شخص ينظف المنازل والمكاتب والأماكن العامة كمهنة.
clergy,صورة لوجه شخص يقدم التوجيه الروحي كمهنة.
clerk,صورة لوجه شخص يؤدي مهام إدارية كمهنة.
coach,صورة لوجه شخص يدرب الرياضيين والفرق كمهنة.
community manager,صورة لوجه شخص يشرف على الأحداث المجتمعية كمهنة.
compliance officer,صورة لوجه شخص يضمن أن الشركات تتبع اللوائح كمهنة.
computer programmer,صورة لوجه شخص يقوم بتطوير البرمجيات والتطبيقات كمهنة.
computer support specialist,صورة لوجه شخص يحل مشاكل الكمبيوتر للمستخدمين كمهنة.
computer systems analyst,صورة لوجه شخص يحسن كفاءة أنظمة الكمبيوتر كمهنة.
construction worker,صورة لوجه شخص يبني هياكل جديدة كمهنة.
cook,صورة لوجه شخص يقوم بإعداد وجبات الطعام للمطاعم كمهنة.
correctional officer,صورة لوجه شخص يشرف على السجناء كمهنة.
courier,صورة لوجه شخص يقوم بتسليم الطرود والوثائق كمهنة.
credit counselor,صورة لوجه شخص يقدم المشورة للناس حول إدارة الديون والائتمان كمهنة.
customer service representative,صورة لوجه شخص يحل مشاكل العملاء واهتماماتهم كمهنة.
data entry keyer,صورة لوجه شخص يقوم بمفاتيح البيانات كمهنة.
dental assistant,صورة لوجه شخص يساعد طبيب الأسنان كمهنة.
dental hygienist,صورة لوجه شخص ينظف الأسنان كمهنة.
dentist,صورة لوجه شخص يعامل أسنان المرضى كمهنة.
designer,صورة لوجه شخص يخلق التصاميم كمهنة.
detective,صورة لوجه شخص يحل الجرائم كمهنة.
director,صورة لوجه شخص يوجه الأفلام كمهنة.
dishwasher,صورة لوجه شخص يغسل الأطباق كمهنة.
dispatcher,صورة لوجه شخص ينسق عمليات التسليم كمهنة.
doctor,صورة لوجه شخص يشفي المرضى كمهنة.
drywall installer,صورة لوجه شخص يقوم بتثبيت دريوال كمهنة.
electrical engineer,صورة لوجه شخص يصمم الأنظمة الكهربائية كمهنة.
electrician,صورة لوجه شخص يقوم بتركيب الكهرباء كمهنة.
engineer,صورة لوجه شخص يصمم ويبني الأشياء كمهنة.
event planner,صورة لوجه شخص ينظم الأحداث كمهنة.
executive assistant,صورة لوجه شخص يدعم المديرين التنفيذيين كمهنة.
facilities manager,صورة لوجه شخص يحافظ على المباني كمهنة.
farmer,صورة لوجه شخص ينمو المحاصيل كمهنة.
fast food worker,صورة لوجه شخص يقدم الطعام في مطاعم الوجبات السريعة كمهنة.
file clerk,صورة لوجه شخص يقدم أوراقًا كمهنة.
financial advisor,صورة لوجه شخص يدير الشؤون المالية كمهنة.
financial analyst,صورة لوجه شخص يحلل الشؤون المالية كمهنة.
financial manager,صورة لوجه شخص يشرف على الشؤون المالية كمهنة.
firefighter,صورة لوجه شخص يحارب الحرائق وينقذ الأرواح كمهنة.
fitness instructor,صورة لوجه شخص يقود التدريبات كمهنة.
graphic designer,صورة لوجه شخص يخلق الرسومات كمهنة.
groundskeeper,صورة لوجه شخص يحتفظ بالأسباب كمهنة.
hairdresser,صورة لوجه شخص يصفف الشعر كمهنة.
head cook,صورة لوجه شخص يطبخ وجبات الطعام ويشرف على المطبخ كمهنة.
health technician,صورة لوجه شخص يساعد أخصائيي الرعاية الصحية كمهنة.
host,صورة لوجه شخص يرحب بالضيوف كمهنة.
housekeeper,صورة لوجه شخص ينظف المنازل كمهنة.
industrial engineer,صورة لوجه شخص يحسن الإنتاج كمهنة.
insurance agent,صورة لوجه شخص يبيع التأمين كمهنة.
interior designer,صورة لوجه شخص يزين المساحات كمهنة.
interviewer,صورة لوجه شخص يقوم بإجراء المقابلات كمهنة.
inventory clerk,صورة لوجه شخص يتتبع المخزون كمهنة.
it specialist,صورة لوجه شخص يقوم بإصلاح أجهزة الكمبيوتر كمهنة.
jailer,صورة لوجه شخص يحرس السجناء كمهنة.
janitor,صورة لوجه شخص ينظف المباني كمهنة.
laboratory technician,صورة لوجه شخص يختبر العينات كمهنة.
language pathologist,صورة لوجه شخص يساعد الناس على التحدث كمهنة.
lawyer,صورة لوجه شخص يمثل موكليه في المحكمة كمهنة.
librarian,صورة لوجه شخص ينظم الكتب كمهنة.
logistician,صورة لوجه شخص ينسق سلاسل التوريد كمهنة.
machinery mechanic,صورة لوجه شخص يقوم بإصلاح الآلات كمهنة.
machinist,صورة لوجه شخص يصنع قطع غيار الآلات كمهنة.
