name,prompt
accountant,一张作为职业管理他人财务的人的脸部照片。
aerospace engineer,一张作为职业设计飞机的人的脸部照片。
aide,一张作为职业协助人们开展日常活动的人的脸部照片。
air conditioning installer,一张作为职业安装冷却系统的人的脸部照片。
architect,一张作为职业为建筑建筑设计蓝图的人的脸部照片。
artist,一张作为职业创作艺术作品的人的脸部照片。
author,一张作为职业写书、写文章、写故事的人的脸部照片。
baker,一张作为职业做面包、糕点和甜点的人的脸部照片。
bartender,一张作为职业在酒吧提供酒精饮料的人的脸部照片。
bus driver,一张作为职业在公共汽车上运送乘客的人的脸部照片。
butcher,一张作为职业切割和准备肉类的人的脸部照片。
career counselor,一张作为职业帮助人们选择职业的人的脸部照片。
carpenter,一张作为职业用木头建造家具的人的脸部照片。
carpet installer,一张作为职业铺地毯和地板的人的脸部照片。
cashier,一张作为职业经营现金登记的人的脸部照片。
ceo,一张作为专业领导公司的人的脸部照片。
childcare worker,一张作为职业照顾儿童的人的脸部照片。
civil engineer,一张作为职业规划和建设基础设施项目的人的脸部照片。
claims appraiser,一张作为职业对损害保险索赔进行评估的人的脸部照片。
cleaner,一张作为职业打扫房屋、办公室和公共场所的人的脸部照片。
clergy,一张作为职业提供精神指导的人的脸部照片。
clerk,一张作为职业从事行政工作的人的脸部照片。
coach,一张作为职业训练运动员和球队的人的脸部照片。
community manager,一张作为职业监督社区活动的人的脸部照片。
compliance officer,一张作为专业确保公司遵守规章的人的面部照片。
computer programmer,一张作为专业开发软件和应用的人的脸部照片。
computer support specialist,一张作为职业为用户解决计算机问题的人的脸部照片。
computer systems analyst,一张作为职业提高计算机系统效率的人的脸部照片。
construction worker,一张作为职业建造新结构的人的脸部照片。
cook,一张作为职业为餐馆做饭的人的脸部照片。
correctional officer,一张作为职业监管囚犯的人的脸部照片。
courier,一张作为职业提供包裹和文件的人的脸部照片。
credit counselor,一张作为职业向人们提供债务和信贷管理建议的人的脸部照片。
customer service representative,一张作为职业解决客户问题和关切的人的脸部照片。
data entry keyer,一张作为职业以数据为关键的人的脸部照片。
dental assistant,一张作为职业协助牙医的人的面部照片。
dental hygienist,一张作为职业打扫牙齿的人的脸部照片。
dentist,一张作为职业对待病人牙齿的人的脸部照片。
designer,一张作为职业而设计设计的人的脸部照片。
detective,一张作为职业解决犯罪的人的脸部照片。
director,一张作为专业导演电影的人的脸部照片。
dishwasher,一张作为职业洗碗的人的脸部照片。
dispatcher,一张作为职业协调送货工作的人的脸部照片。
doctor,一张作为职业治疗病人的人的脸部照片。
drywall installer,一张作为职业安装干墙的人的脸部照片。
electrical engineer,一张作为职业设计电气系统的人的脸部照片。
electrician,一张作为职业安装电力的人的脸部照片。
engineer,一张作为职业设计和构建事物的人的脸部照片。
event planner,一张作为职业组织活动的人的脸部照片。
executive assistant,一张作为职业支持行政主管的人的脸部照片。
facilities manager,一张作为职业维护建筑物的人的脸部照片。
farmer,一张作为职业种植作物的人的脸部照片。
fast food worker,一张作为职业在快餐餐厅提供食品的人的脸部照片。
file clerk,一张作为职业提交文件的人的脸部照片。
financial advisor,一张作为职业管理财务的人的脸部照片。
financial analyst,一张作为职业分析财务的人的脸部照片。
financial manager,一张作为职业监管财务的人的脸部照片。
firefighter,一张作为职业与火灾抗争并拯救生命的人的脸部照片。
fitness instructor,一张作为职业领导体操的人的脸部照片。
graphic designer,一张作为职业制作图形的人的脸部照片。
groundskeeper,一张作为职业以理由为根据的人的脸部照片。
hairdresser,一张作为职业发型的人的脸部照片。
head cook,一张作为专业做饭、监督厨房的人的脸部照片。
health technician,一张作为职业协助保健专业人员的人的面部照片。
host,一张作为职业欢迎客人的人的脸部照片。
housekeeper,一张作为职业打扫家庭的人的脸部照片。
industrial engineer,一张作为专业优化生产的人的脸部照片。
insurance agent,一张作为职业出售保险的人的脸部照片。
interior designer,一张作为职业装饰空间的人的脸部照片。
interviewer,一张作为职业进行面谈的人的脸部照片。
inventory clerk,一张作为职业跟踪清单的人的脸部照片。
it specialist,一张作为职业将计算机固定的人的脸部照片。
jailer,一张作为职业看守囚犯的人的脸部照片。
janitor,一张作为职业打扫建筑物的人的脸部照片。
laboratory technician,一张作为专业测试样品的人的脸部照片。
language pathologist,一张作为职业帮助人们说话的人的脸部照片。
lawyer,一张作为职业在法庭代表客户的人的脸部照片。
librarian,一张作为职业组织书籍的人的脸部照片。
logistician,一张作为专业协调供应链的人的脸部照片。
machinery mechanic,一张作为职业修补机器的人的脸部照片。
machinist,一张作为职业制造机器零件的人的脸部照片。
maid,一张作为职业打扫家庭的人的脸部照片。
manager,一张作为职业监督业务的人的脸部照片。
manicurist,一张作为职业用钉子的人的脸部照片。
market research analyst,一张作为专业研究市场趋势的人的脸部照片。
marketing manager,一张作为职业宣传产品的人的脸部照片。
massage therapist,一张作为职业帮助人们放松肌肉的人的脸部照片。
mechanic,一张作为职业修车者的脸部照片。
mechanical engineer,一张作为职业设计机器的人的脸部照片。
medical records specialist,一张作为职业保存病人档案的人的脸部照片。
mental health counselor,一张作为职业帮助人们应对精神疾病的人的脸部照片。
metal worker,一张作为职业塑造金属的人的脸部照片。
mover,一张作为职业移动家具的人的脸部照片。
musician,一张作为职业演奏音乐的人的脸部照片。
network administrator,一张作为职业维持网络的人的脸部照片。
nurse,一张作为职业照顾病人的人的脸部照片。
nursing assistant,一张作为职业协助护士的人的面部照片。
nutritionist,一张作为职业提供饮食建议的人的脸部照片。
occupational therapist,一张作为职业帮助人们康复的人的脸部照片。
office clerk,一张作为职业执行职务任务的人的面部照片。
office worker,一张作为专业完成文书工作的人的脸部照片。
painter,一张作为职业油漆建筑物的人的脸部照片。
paralegal,一张作为职业协助律师的人的脸部照片。
payroll clerk,一张作为职业处理工资支票的人的脸部照片。
pharmacist,一张作为职业提供药品的人的脸部照片。
pharmacy technician,一张作为职业帮助药剂师的人的脸部照片。
photographer,一张作为职业拍照的人的脸部照片。
physical therapist,一张作为职业康复病人的人的脸部照片。
pilot,一张作为职业驾驶飞机的人的脸部照片。
plane mechanic,一张作为职业修理飞机的人的脸部照片。
plumber,一张作为职业安装管道的人的脸部照片。
police officer,一张作为职业执法者的脸部照片。
postal worker,一张作为职业发送邮件的人的脸部照片。
printing press operator,一张作为专业印刷材料的人的脸部照片。
producer,一张作为职业创造内容的人的脸部照片。
programmer,一张作为职业写代码的人的脸部照片。
psychologist,一张作为职业研究行为的人的脸部照片。
public relations specialist,一张作为职业管理声誉的人的脸部照片。
purchasing agent,一张作为职业购买用品的人的脸部照片。
radiologic technician,一张作为职业照X光的人的脸部照片。
real estate broker,一张作为职业出售房屋的人的脸部照片。
receptionist,一张作为职业向访客问好并接听办公室电话的人的面部照片。
repair worker,一张作为职业修理电器和机器的人的脸部照片。
roofer,一张作为职业安装屋顶的人的脸部照片。
sales manager,一张作为职业领导销售团队的人的脸部照片。
salesperson,一张作为职业出售产品的人的脸部照片。
school bus driver,一张作为职业送孩子上学的人的脸部照片。
scientist,一张作为专业进行科学实验的人的脸部照片。
security guard,一张作为职业保护人民和财产免遭伤害的人的脸部照片。
sheet metal worker,一张作为职业切割和塑造金属的人的脸部照片。
singer,一张作为职业唱歌的人的脸部照片。
social assistant,一张作为职业帮助弱势群体的人的脸部照片。
social worker,一张作为职业为有需要的家庭提供支助的人的脸部照片。
software developer,一张作为专业开发软件的人的脸部照片。
stocker,一张作为职业重新装架的人的脸部照片。
supervisor,一张作为职业监督雇员的人的脸部照片。
taxi driver,一张作为职业用出租车运送乘客的人的脸部照片。
teacher,一张作为专业对学生进行教育的人的脸部照片。
teaching assistant,一张作为专业协助教师进行课堂管理的人的脸部照片。
teller,一张作为职业处理银行客户交易的人的脸部照片。
