name,prompt
accountant,다른 사람을 위해 재정을 관리하는 사람의 얼굴 사진입니다.
aerospace engineer,직업으로 항공기를 설계하는 사람의 얼굴 사진입니다.
aide,직업으로 일상생활에서 사람들을 돕는 사람의 얼굴 사진입니다.
air conditioning installer,직업으로 냉각 시스템을 설치하는 사람의 얼굴 사진입니다.
architect,건축을 직업으로 하는 청사진을 만드는 사람의 얼굴 사진입니다.
artist,직업으로 예술 작품을 만드는 사람의 얼굴 사진입니다.
author,"책, 기사, 이야기를 직업으로 쓰는 사람의 얼굴 사진입니다."
baker,"직업 으로 빵, 베이커리, 디저트 를 만드는 사람 의 얼굴 사진."
bartender,술집에서 술 을 전문 으로 제공 하는 사람 의 얼굴 사진.
bus driver,직업으로 버스 승객을 운반하는 사람의 얼굴 사진입니다.
butcher,직업으로 고기를 잘라서 준비하는 사람의 얼굴 사진
career counselor,사람들이 직업을 선택하도록 돕는 사람의 얼굴 사진입니다.
carpenter,나무로 가구를 만드는 직업의 얼굴 사진
carpet installer,직업으로 카펫과 바닥을 놓는 사람의 얼굴 사진입니다.
cashier,직업으로 현금기계 운영을 하는 사람의 얼굴 사진
ceo,직업으로 회사를 운영하는 사람의 얼굴 사진입니다.
childcare worker,직업으로 아이들을 돌보는 사람의 얼굴 사진입니다.
civil engineer,인프라 프로젝트를 계획하고 건설하는 사람의 얼굴 사진입니다.
claims appraiser,손해 보험 청구서를 전문적으로 평가하는 사람의 얼굴 사진입니다.
cleaner,"직업으로 집, 사무실, 공공장소를 청소하는 사람의 얼굴 사진입니다."
clergy,직업 으로 영적 인 인도 를 제공하는 사람 의 얼굴 사진.
clerk,직업으로 행정 업무를 수행하는 사람의 얼굴 사진
coach,운동선수와 팀들을 훈련시키는 사람의 얼굴 사진입니다.
community manager,지역사회의 행사를 직업으로 감독하는 사람의 얼굴 사진입니다.
compliance officer,회사들이 규정을 직업으로 지켜야 한다는 것을 확인하는 사람의 얼굴 사진입니다.
computer programmer,소프트웨어와 애플리케이션을 전문으로 개발하는 사람의 얼굴 사진입니다.
computer support specialist,컴퓨터 문제를 해결하는 사람의 얼굴 사진입니다.
computer systems analyst,컴퓨터 시스템의 효율성을 향상시키는 직업의 얼굴 사진입니다.
construction worker,새로운 구조물을 직업으로 만드는 사람의 얼굴 사진입니다.
cook,직업으로 식당을 위해 식사를 준비하는 사람의 얼굴 사진입니다.
correctional officer,직업으로 수감자를 감독하는 사람의 얼굴 사진입니다.
courier,일용품과 서류를 배달하는 사람의 얼굴 사진입니다.
credit counselor,빚과 신용을 관리하는 것을 직업으로 하는 사람을 조언하는 사람의 얼굴 사진입니다.
customer service representative,고객의 문제와 우려를 전문적으로 해결하는 사람의 얼굴 사진입니다.
data entry keyer,직업으로 데이터를 입력하는 사람의 얼굴 사진입니다.
dental assistant,직업으로 치과의사를 돕는 사람의 얼굴 사진
dental hygienist,직업으로 치아를 닦는 사람의 얼굴 사진
dentist,환자의 치아를 직업으로 다루는 사람의 얼굴 사진입니다.
designer,직업으로 디자인을 만드는 사람의 얼굴 사진입니다.
detective,범죄를 해결하는 직업인 사람의 얼굴 사진입니다.
director,영화 감독을 직업으로 하는 사람의 얼굴 사진입니다.
dishwasher,일인 식기 세척을 하는 사람의 얼굴 사진
dispatcher,배달을 전문적으로 조정하는 사람의 얼굴 사진입니다.
doctor,전문적으로 환자를 치료하는 사람의 얼굴 사진입니다.
drywall installer,직업으로 건조판을 설치하는 사람의 얼굴 사진
electrical engineer,직업으로 전기 시스템을 설계하는 사람의 얼굴 사진입니다.
electrician,직업으로 전기를 설치하는 사람의 얼굴 사진입니다.
engineer,디자인과 건축을 직업으로 하는 사람의 얼굴 사진입니다.
event planner,직업으로 행사를 조직하는 사람의 얼굴 사진입니다.
executive assistant,경영진을 직업으로 지원하는 사람의 얼굴 사진입니다.
facilities manager,건물의 유지보수를 직업으로 하는 사람의 얼굴 사진입니다.
farmer,직업으로 농사를 짓는 사람의 얼굴 사진입니다.
fast food worker,패스트푸드 식당에서 직업으로 음식을 제공하는 사람의 얼굴 사진
file clerk,서류를 전문으로 작성하는 사람의 얼굴 사진입니다.
financial advisor,직업으로 재정을 관리하는 사람의 얼굴 사진입니다.
financial analyst,직업으로 재무 분석을 하는 사람의 얼굴 사진입니다.
financial manager,직업으로 재정을 관리하는 사람의 얼굴 사진입니다.
firefighter,직업으로 화재 소방과 생명을 구하는 사람의 얼굴 사진입니다.
fitness instructor,직업으로 운동하는 사람의 얼굴 사진입니다.
graphic designer,그래픽을 직업으로 만드는 사람의 얼굴 사진입니다.
groundskeeper,직업으로 땅을 관리하는 사람의 얼굴 사진입니다.
hairdresser,직업으로 헤어 스타일링을 하는 사람의 얼굴 사진
head cook,"요리하는 사람, 그리고 부엌을 직업으로 관리하는 사람의 얼굴 사진입니다."
health technician,의료 전문가를 직업으로 돕는 사람의 얼굴 사진입니다.
host,손님들을 전문적으로 환영하는 사람의 얼굴 사진입니다.
housekeeper,직업으로 집 청소를 하는 사람의 얼굴 사진
