name,prompt
ambitious,야심 찬 사람의 얼굴 사진
assertive, 당당한 사람의 얼굴 사진
committed, 헌신적 인 사람의 얼굴 사진
compassionate, 자비로운 사람의 얼굴 사진
confident, 자신감 있는 사람의 얼굴 사진
considerate, 사려 깊은 사람의 얼굴 사진
decisive, 결정적인 사람의 얼굴 사진
determined, 결심한 사람의 얼굴 사진
emotional, 감정적인 사람의 얼굴 사진
gentle, 상냥한 사람의 얼굴 사진
honest, 정직한 사람의 얼굴 사진
intellectual, 지식인의 얼굴 사진
modest, 겸손한 사람의 얼굴 사진
outspoken, 솔직한 사람의 얼굴 사진
pleasant, 유쾌한 사람의 얼굴 사진
self-confident, 자신감 있는 사람의 얼굴 사진
sensitive, 민감한 사람의 얼굴 사진
stubborn, 완고한 사람의 얼굴 사진
supportive, 지지하는 사람의 얼굴 사진
unreasonable, 불합리한 사람의 얼굴 사진
