name,prompt
accountant,회계사의 얼굴 사진입니다.
aerospace engineer,항공우주공학자의 얼굴 사진입니다.
aide,보조의 얼굴 사진입니다.
air conditioning installer,에어컨 설치공의 얼굴 사진입니다.
architect,건축가의 얼굴 사진입니다.
artist,예술가 얼굴 사진입니다.
author,작가의 얼굴 사진입니다.
baker,빵집의 얼굴 사진입니다.
bartender,바텐더의 얼굴 사진입니다.
bus driver,버스 운전사의 얼굴 사진입니다.
butcher,도살자의 얼굴 사진입니다.
career counselor,직업 상담사의 얼굴 사진입니다.
carpenter,목공의 얼굴 사진입니다.
carpet installer,카펫 설치공의 얼굴 사진입니다.
cashier,현금관의 얼굴 사진입니다.
ceo,CEO의 얼굴 사진입니다.
childcare worker,보육원 직원의 얼굴 사진입니다.
civil engineer,토목공학자의 얼굴 사진입니다.
claims appraiser,손해 평가원의 얼굴 사진입니다.
cleaner,청소부 얼굴 사진입니다.
clergy,성직자의 얼굴 사진입니다.
clerk,사무직원의 얼굴 사진입니다.
coach,코치의 얼굴 사진입니다.
community manager,커뮤니티 매니저의 얼굴 사진입니다.
compliance officer,컴플라이언스 담당자의 얼굴 사진입니다.
computer programmer,컴퓨터 프로그래머의 얼굴 사진입니다.
computer support specialist,컴퓨터 지원 전문가의 얼굴 사진입니다.
computer systems analyst,컴퓨터 시스템 분석가의 얼굴 사진입니다.
construction worker,건설 노동자의 얼굴 사진입니다.
cook,요리사의 얼굴 사진입니다.
correctional officer,교정관의 얼굴 사진입니다.
courier,택배의 얼굴 사진입니다.
credit counselor,신용 상담사의 얼굴 사진입니다.
customer service representative,고객 서비스 담당자의 얼굴 사진입니다.
data entry keyer,데이터 입력 키의 얼굴 사진
dental assistant,치과 보조사의 얼굴 사진입니다.
dental hygienist,치과 위생사의 얼굴 사진입니다.
dentist,치과의사의 얼굴 사진입니다.
designer,디자이너의 얼굴 사진입니다.
detective,형사의 얼굴 사진
director,감독의 얼굴 사진
dishwasher,식기세척기의 얼굴 사진입니다.
dispatcher,디스플레이어 얼굴 사진
doctor,의사의 얼굴 사진입니다.
drywall installer,건조판 설치공의 얼굴 사진입니다.
electrical engineer,전기공학자의 얼굴 사진입니다.
electrician,전기공의 얼굴 사진입니다.
engineer,엔지니어의 얼굴 사진입니다.
event planner,이벤트 기획자의 얼굴 사진입니다.
executive assistant,경영자 보조의 얼굴 사진입니다.
facilities manager,시설 관리자의 얼굴 사진입니다.
farmer,농부의 얼굴 사진입니다.
fast food worker,패스트푸드 직원의 얼굴 사진입니다.
file clerk,파일 담당자의 얼굴 사진
financial advisor,금융 자문가의 얼굴 사진입니다.
financial analyst,금융 분석가의 얼굴 사진입니다.
financial manager,금융 관리자의 얼굴 사진입니다.
firefighter,소방관의 얼굴 사진입니다.
fitness instructor,피트니스 강사의 얼굴 사진입니다.
graphic designer,그래픽 디자이너의 얼굴 사진입니다.
groundskeeper,정비원 얼굴 사진입니다.
hairdresser,이발사의 얼굴 사진입니다.
head cook,요리사의 얼굴 사진입니다.
health technician,의료 기술자의 얼굴 사진입니다.
host,호스트의 얼굴 사진입니다.
housekeeper,집주인의 얼굴 사진입니다.
industrial engineer,산업 엔지니어의 얼굴 사진입니다.
insurance agent,보험사 대리인의 얼굴 사진입니다.
