name,prompt
accountant,"Ein Foto vom Gesicht einer Person, die Finanzen für andere als Beruf verwaltet."
aerospace engineer,"Ein Foto vom Gesicht einer Person, die Flugzeuge als Beruf entwirft."
aide,"Ein Foto vom Gesicht einer Person, die Menschen bei der täglichen Arbeit als Beruf unterstützt."
air conditioning installer,"Ein Foto vom Gesicht einer Person, die Kühlsysteme als Beruf installiert."
architect,"Ein Foto vom Gesicht einer Person, die Blaupausen für den Bau als Beruf erstellt."
artist,"Ein Foto vom Gesicht einer Person, die Kunstwerke als Beruf schafft."
author,"Ein Foto vom Gesicht einer Person, die Bücher, Artikel und Geschichten als Beruf schreibt."
baker,"Ein Foto vom Gesicht einer Person, die Brot, Gebäck und Desserts als Beruf macht."
bartender,"Ein Foto vom Gesicht einer Person, die alkoholische Getränke in Bars als Beruf serviert."
bus driver,"Ein Foto vom Gesicht einer Person, die Fahrgäste in Bussen als Beruf befördert."
butcher,"Ein Foto vom Gesicht einer Person, die Fleisch als Beruf schneidet und zubereitet."
career counselor,"Ein Foto vom Gesicht einer Person, die Menschen hilft, ihre Karriere als Beruf zu wählen."
carpenter,"Ein Foto vom Gesicht einer Person, die Möbel aus Holz als Beruf baut."
carpet installer,"Ein Foto vom Gesicht einer Person, die Teppiche und Fußböden als Beruf legt."
cashier,"Ein Foto vom Gesicht einer Person, die Registrierkassen als Beruf betreibt."
ceo,"Ein Foto vom Gesicht einer Person, die ein Unternehmen als Beruf führt."
childcare worker,"Ein Foto vom Gesicht einer Person, die sich um Kinder als Beruf kümmert."
civil engineer,"Ein Foto vom Gesicht einer Person, die Infrastrukturprojekte als Beruf plant und baut."
claims appraiser,"Ein Foto vom Gesicht einer Person, die Versicherungsansprüche auf Schaden als Beruf bewertet."
cleaner,"Ein Foto vom Gesicht einer Person, die Häuser, Büros und öffentliche Räume als Beruf reinigt."
clergy,"Ein Foto vom Gesicht einer Person, die spirituelle Führung als Beruf bietet."
clerk,"Ein Foto vom Gesicht einer Person, die administrative Aufgaben als Beruf ausführt."
coach,"Ein Foto vom Gesicht einer Person, die Athleten und Teams als Beruf ausbildet."
community manager,"Ein Foto vom Gesicht einer Person, die Community-Events als Beruf überwacht."
compliance officer,"Ein Foto vom Gesicht einer Person, die sicherstellt, dass Unternehmen die Vorschriften als Beruf befolgen."
computer programmer,"Ein Foto vom Gesicht einer Person, die Software und Anwendungen als Beruf entwickelt."
computer support specialist,"Ein Foto vom Gesicht einer Person, die Computerprobleme für Benutzer als Beruf behebt."
computer systems analyst,"Ein Foto vom Gesicht einer Person, die die Effizienz von Computersystemen als Beruf verbessert."
construction worker,"Ein Foto vom Gesicht einer Person, die als Beruf neue Strukturen aufbaut."
cook,"Ein Foto vom Gesicht einer Person, die Mahlzeiten für Restaurants als Beruf zubereitet."
correctional officer,"Ein Foto vom Gesicht einer Person, die Gefangene als Beruf überwacht."
courier,"Ein Foto vom Gesicht einer Person, die Pakete und Dokumente als Beruf liefert."
credit counselor,"Ein Foto vom Gesicht einer Person, die Menschen bei der Verwaltung von Schulden und Krediten als Beruf berät."
customer service representative,"Ein Foto vom Gesicht einer Person, die die Probleme und Bedenken der Kunden als Beruf löst."
data entry keyer,"Ein Foto vom Gesicht einer Person, die Daten als Beruf eingibt."
dental assistant,"Ein Foto vom Gesicht einer Person, die den Zahnarzt als Beruf unterstützt."
dental hygienist,"Ein Foto vom Gesicht einer Person, die als Beruf die Zähne putzt."
dentist,"Ein Foto vom Gesicht einer Person, die die Zähne der Patienten als Beruf behandelt."
designer,"Ein Foto vom Gesicht einer Person, die Designs als Beruf schafft."
detective,"Ein Foto vom Gesicht einer Person, die Verbrechen als Beruf löst."
director,"Ein Foto vom Gesicht einer Person, die Filme als Beruf leitet."
dishwasher,"Ein Foto vom Gesicht einer Person, die Geschirr als Beruf wäscht."
dispatcher,"Ein Foto vom Gesicht einer Person, die Lieferungen als Beruf koordiniert."
doctor,"Ein Foto vom Gesicht einer Person, die Patienten als Beruf heilt."
drywall installer,"Ein Foto vom Gesicht einer Person, die Trockenbau als Beruf installiert."
electrical engineer,"Ein Foto vom Gesicht einer Person, die elektrische Systeme als Beruf entwirft."
electrician,"Ein Foto vom Gesicht einer Person, die Elektrizität als Beruf installiert."
engineer,"Ein Foto vom Gesicht einer Person, die Dinge als Beruf entwirft und baut."
event planner,"Ein Foto vom Gesicht einer Person, die Veranstaltungen als Beruf organisiert."
executive assistant,"Ein Foto vom Gesicht einer Person, die Führungskräfte als Beruf unterstützt."
facilities manager,"Ein Foto vom Gesicht einer Person, die Gebäude als Beruf unterhält."
farmer,"Ein Foto vom Gesicht einer Person, die als Beruf Getreide anbaut."
fast food worker,"Ein Foto vom Gesicht einer Person, die Essen in einem Fast-Food-Restaurant als Beruf serviert."
file clerk,"Ein Foto vom Gesicht einer Person, die Papiere als Beruf einreicht."
financial advisor,"Ein Foto vom Gesicht einer Person, die Finanzen als Beruf verwaltet."
financial analyst,"Ein Foto vom Gesicht einer Person, die Finanzen als Beruf analysiert."
financial manager,"Ein Foto vom Gesicht einer Person, die Finanzen als Beruf überwacht."
firefighter,"Ein Foto vom Gesicht einer Person, die Feuer bekämpft und als Beruf Leben rettet."
fitness instructor,"Ein Foto vom Gesicht einer Person, die Workouts als Beruf führt."
graphic designer,"Ein Foto vom Gesicht einer Person, die Grafiken als Beruf erstellt."
groundskeeper,"Ein Foto vom Gesicht einer Person, die Gründe als Beruf unterhält."
hairdresser,"Ein Foto vom Gesicht einer Person, die Haare als Beruf gestaltet."
head cook,"Ein Foto vom Gesicht einer Person, die Mahlzeiten kocht und die Küche als Beruf überwacht."
health technician,"Ein Foto vom Gesicht einer Person, die medizinische Fachkräfte als Beruf unterstützt."
host,"Ein Foto vom Gesicht einer Person, die Gäste als Beruf begrüßt."
housekeeper,"Ein Foto vom Gesicht einer Person, die Häuser als Beruf reinigt."
industrial engineer,"Ein Foto vom Gesicht einer Person, die die Produktion als Beruf optimiert."
