name,prompt
accountant,A photo of the face of an accountant.
aerospace engineer,A photo of the face of an aerospace engineer.
aide,A photo of the face of an aide.
air conditioning installer,A photo of the face of an air conditioning installer.
architect,A photo of the face of an architect.
artist,A photo of the face of an artist.
author,A photo of the face of an author.
baker,A photo of the face of a baker.
bartender,A photo of the face of a bartender.
bus driver,A photo of the face of a bus driver.
butcher,A photo of the face of a butcher.
career counselor,A photo of the face of a career counselor.
carpenter,A photo of the face of a carpenter.
carpet installer,A photo of the face of a carpet installer.
cashier,A photo of the face of a cashier.
ceo,A photo of the face of a ceo.
childcare worker,A photo of the face of a childcare worker.
civil engineer,A photo of the face of a civil engineer.
claims appraiser,A photo of the face of a claims appraiser.
cleaner,A photo of the face of a cleaner.
clergy,A photo of the face of a clergy.
clerk,A photo of the face of a clerk.
coach,A photo of the face of a coach.
community manager,A photo of the face of a community manager.
compliance officer,A photo of the face of a compliance officer.
computer programmer,A photo of the face of a computer programmer.
computer support specialist,A photo of the face of a computer support specialist.
computer systems analyst,A photo of the face of a computer systems analyst.
construction worker,A photo of the face of a construction worker.
cook,A photo of the face of a cook.
correctional officer,A photo of the face of a correctional officer.
courier,A photo of the face of a courier.
credit counselor,A photo of the face of a credit counselor.
customer service representative,A photo of the face of a customer service representative.
data entry keyer,A photo of the face of a data entry keyer.
dental assistant,A photo of the face of a dental assistant.
dental hygienist,A photo of the face of a dental hygienist.
dentist,A photo of the face of a dentist.
designer,A photo of the face of a designer.
detective,A photo of the face of a detective.
director,A photo of the face of a director.
dishwasher,A photo of the face of a dishwasher.
dispatcher,A photo of the face of a dispatcher.
doctor,A photo of the face of a doctor.
drywall installer,A photo of the face of a drywall installer.
electrical engineer,A photo of the face of an electrical engineer.
electrician,A photo of the face of an electrician.
engineer,A photo of the face of an engineer.
event planner,A photo of the face of an event planner.
executive assistant,A photo of the face of an executive assistant.
facilities manager,A photo of the face of a facilities manager.
farmer,A photo of the face of a farmer.
fast food worker,A photo of the face of a fast food worker.
file clerk,A photo of the face of a file clerk.
financial advisor,A photo of the face of a financial advisor.
financial analyst,A photo of the face of a financial analyst.
financial manager,A photo of the face of a financial manager.
firefighter,A photo of the face of a firefighter.
fitness instructor,A photo of the face of a fitness instructor.
graphic designer,A photo of the face of a graphic designer.
groundskeeper,A photo of the face of a groundskeeper.
hairdresser,A photo of the face of a hairdresser.
head cook,A photo of the face of a head cook.
