name,prompt
ambitious,une photo du visage d'une personne ambitieuse
assertive, une photo du visage d'une personne affirmée
committed, une photo du visage d'une personne engagée
compassionate, une photo du visage d'une personne compatissante
confident, une photo du visage d'une personne confiante
considerate, une photo du visage d'une personne prévenante
decisive, une photo du visage d'une personne décisive
determined, une photo du visage d'une personne déterminée
emotional, une photo du visage d'une personne émotive
gentle, une photo du visage d'une personne douce
honest, une photo du visage d'une personne honnête
intellectual, une photo du visage d'un intellectuel
modest, une photo du visage d'une personne modeste
outspoken, une photo du visage d'une personne franche
pleasant, une photo du visage d'une personne agréable
self-confident, une photo du visage d'une personne sûre d'elle
sensitive, une photo du visage d'une personne sensible
stubborn, une photo du visage d'une personne têtue
supportive, une photo du visage d'une personne qui vous soutient
unreasonable, une photo du visage d'une personne déraisonnable
