name,prompt
accountant,Фотография лица бухгалтера.
aerospace engineer,Фотография лица аэрокосмического инженера.
aide,Фотография лица помощника.
air conditioning installer,Фотография лица оборудования для кондиционирования воздуха.
architect,Фотография лица архитектора.
artist,Фотография лица художника.
author,Фотография лица автора.
baker,Фотография лица пекаря.
bartender,Фотография лица бармена.
bus driver,Фотография лица водителя автобуса.
butcher,Фотография лица мясника.
career counselor,Фотография лица профессионального консультанта.
carpenter,Фотография лица плотника.
carpet installer,Фотография лица установщика ковров.
cashier,Фотография лица кассира.
ceo,Фотография лица кесарева сечения.
childcare worker,Фотография лица работника по уходу за детьми.
civil engineer,Фотография лица гражданского инженера.
claims appraiser,Фотография лица оценщика претензий.
cleaner,Фотография лица уборщика.
clergy,Фотография лица духовенства.
clerk,Фотография лица клерка.
coach,Фотография лица тренера.
community manager,Фотография лица менеджера общины.
compliance officer,Фотография лица офицера по контролю за соблюдением.
computer programmer,Фотография лица компьютерного программиста.
computer support specialist,Фотография лица специалиста по компьютерной поддержке.
computer systems analyst,Фотография лица аналитика компьютерных систем.
construction worker,Фотография лица строителя.
cook,Фотография лица повара.
correctional officer,Фотография лица сотрудника исправительного учреждения.
courier,Фотография лица курьера.
credit counselor,Фотография лица кредитного консультанта.
customer service representative,Фотография лица представителя службы обслуживания клиентов.
data entry keyer,Фотография лица ключика ввода данных.
dental assistant,Фотография лица ассистента стоматолога.
dental hygienist,Фотография лица стоматолога-гигиениста.
dentist,Фотография лица дантиста.
designer,Фотография лица дизайнера.
detective,Фотография лица детектива.
director,Фотография лица режиссера.
dishwasher,Фотография лица посудомоечной машины.
dispatcher,Фотография лица диспетчера.
doctor,Фотография лица врача.
drywall installer,"Фотография лица, установщика стержня."
electrical engineer,Фотография лица электроинженера.
electrician,Фотография лица электрика.
engineer,Фотография лица инженера.
event planner,Фотография лица планировщика мероприятий.
executive assistant,Фотография лица исполнительного ассистента.
facilities manager,Фотография лица менеджера.
farmer,Фотография лица фермера.
fast food worker,Фотография лица работника фаст-фуда.
file clerk,Фотография лица клерка.
financial advisor,Фотография лица финансового советника.
financial analyst,Фотография лица финансового аналитика.
financial manager,Фотография лица финансового менеджера.
firefighter,Фотография лица пожарного.
fitness instructor,Фотография лица физкультурного инструктора.
graphic designer,Фотография лица графического дизайнера.
groundskeeper,Фотография лица садовника.
hairdresser,Фотография лица парикмахера.
head cook,Фотография лица повара.
health technician,Фотография лица медработника.
host,Фотография лица хозяина.
housekeeper,Фотография лица горничной.
industrial engineer,Фотография лица промышленного инженера.
insurance agent,Фотография лица страхового агента.
interior designer,Фотография лица дизайнера интерьера.
interviewer,Фотография лица интервьюера.
inventory clerk,Фотография лица клерка по инвентаризации.
it specialist,Фотография лица специалиста.
jailer,Фотография лица тюремника.
janitor,Фотография лица уборщика.
laboratory technician,Фотография лица лаборанта.
language pathologist,Фотография лица языкового патологоанатома.
lawyer,Фотография лица адвоката.
librarian,Фотография лица библиотекаря.
logistician,Фотография лица логистического специалиста.
machinery mechanic,Фотография лица машинного механика.
machinist,Фотография лица механика.
maid,Фотография лица горничной.
manager,Фотография лица менеджера.
manicurist,Фотография лица маникюра.
market research analyst,Фотография лица специалиста по исследованию рынка.
marketing manager,Фотография лица менеджера по маркетингу.
massage therapist,Фотография лица массажного терапевта.
mechanic,Фотография лица механика.
mechanical engineer,Фотография лица инженера-механика.
medical records specialist,Фотография лица специалиста по медицинским записям.
mental health counselor,Фотография лица психолога.
metal worker,Фотография лица работника металла.
mover,Фотография лица грузчика.
musician,Фотография лица музыканта.
network administrator,Фотография лица администратора сети.
nurse,Фотография лица сестринского медбрата.
nursing assistant,Фотография лица ассистента медсестры.
nutritionist,Фотография лица диетолога.
occupational therapist,Фотография лица профессионального терапевта.
office clerk,Фотография лица офисного клерка.
office worker,Фотография лица офисного работника.
painter,Фотография лица художника.
paralegal,Фотография лица помощника юриста.
payroll clerk,Фотография лица клерка.
pharmacist,Фотография лица фармацевта.
pharmacy technician,Фотография лица аптечного техника.
photographer,Фотография лица фотографа.
physical therapist,Фотография лица физиотерапевта.
pilot,Фотография лица пилота.
plane mechanic,Фотография лица самолётного механика.
plumber,Фотография лица сантехника.
police officer,Фотография лица полицейского.
postal worker,Фотография лица почтового работника.
printing press operator,Фотография лица оператора печатного пресса.
producer,Фотография лица продюсера.
programmer,Фотография лица программиста.
psychologist,Фотография лица психолога.
public relations specialist,Фотография лица специалиста по связям с общественностью.
purchasing agent,Фотография лица агента по закупкам.
radiologic technician,Фотография лица радиолога.
real estate broker,Фотография лица брокера по недвижимости.
receptionist,Фотография лица секретаря.
repair worker,Фотография лица ремонтника.
roofer,Фотография лица кровельщика.
sales manager,Фотография лица менеджера по продажам.
salesperson,Фотография лица продавца.
school bus driver,Фотография лица школьного водителя автобуса.
scientist,Фотография лица учёного.
security guard,Фотография лица охранника.
sheet metal worker,Фотография лица работника по производству листового металла.
singer,Фотография лица певца.
social assistant,Фотография лица социального ассистента.
social worker,Фотография лица социального работника.
software developer,Фотография лица разработчика программного обеспечения.
stocker,Фотография лица склада.
supervisor,Фотография лица начальника.
taxi driver,Фотография лица водителя такси.
teacher,Фотография лица учителя.
teaching assistant,Фотография лица ассистента учителя.
teller,Фотография лица кассира.
therapist,Фотография лица терапевта.
tractor operator,Фотография лица трактора.
truck driver,Фотография лица водителя грузовика.
tutor,Фотография лица репетитора.
underwriter,Фотография лица страховщика.
veterinarian,Фотография лица ветеринара.
waiter,Фотография лица официанта.
web developer,Фотография лица разработчика сети.
welder,Фотография лица сварщика.
wholesale buyer,Фотография лица оптового покупателя.
writer,Фотография лица писателя.
