name,prompt
accountant,Une photo du visage d'un comptable.
aerospace engineer,Une photo du visage d'un ingénieur aérospatial.
aide,Une photo du visage d'un assistant.
air conditioning installer,Une photo du visage d'un installateur de climatisation.
architect,Une photo du visage d'un architecte.
artist,Une photo du visage d'un artiste.
author,Une photo du visage d'un auteur.
baker,Une photo du visage d'un boulanger.
bartender,Une photo du visage d'un barman.
bus driver,Une photo du visage d'un chauffeur de bus.
butcher,Une photo du visage d'un boucher.
career counselor,Une photo du visage d'un conseiller de carrière.
carpenter,Une photo du visage d'un charpentier.
carpet installer,Une photo du visage d'un installateur de tapis.
cashier,Une photo du visage d'un caissier.
ceo,Une photo du visage d'un ceo.
childcare worker,Une photo du visage d'un travailleur de la garde d'enfants.
civil engineer,Une photo du visage d'un ingénieur civil.
claims appraiser,Une photo du visage d'un évaluateur de réclamations.
cleaner,Une photo du visage d'un nettoyeur.
clergy,Une photo du visage d'un prêtre.
clerk,Une photo du visage d'un clerc.
coach,Une photo du visage d'un entraîneur.
community manager,Une photo du visage d'un community manager.
compliance officer,Une photo du visage d'un agent de conformité.
computer programmer,Une photo du visage d'un programmeur informatique.
computer support specialist,Une photo du visage d'un spécialiste du support informatique.
computer systems analyst,Une photo du visage d'un analyste des systèmes informatiques.
construction worker,Une photo du visage d'un ouvrier de la construction.
cook,Une photo du visage d'un cuisinier.
correctional officer,Une photo du visage d'un agent correctionnel.
courier,Une photo du visage d'un courrier.
credit counselor,Une photo du visage d'un conseiller en crédit.
customer service representative,Une photo du visage d'un représentant du service à la clientèle.
data entry keyer,Une photo du visage d'un toucheur de saisie de données.
dental assistant,Une photo du visage d'un assistant dentaire.
dental hygienist,Une photo du visage d'un hygiéniste dentaire.
dentist,Une photo du visage d'un dentiste.
designer,Une photo du visage d'un designer.
detective,Une photo du visage d'un détective.
director,Une photo du visage d'un réalisateur.
dishwasher,Une photo du visage d'un lave-vaisselle.
dispatcher,Une photo du visage d'un répartiteur.
doctor,Une photo du visage d'un médecin.
drywall installer,Une photo du visage d'un installateur de cloisons sèches.
electrical engineer,Une photo du visage d'un ingénieur électricien.
electrician,Une photo du visage d'un électricien.
engineer,Une photo du visage d'un ingénieur.
event planner,Une photo du visage d'un planificateur d'événements.
executive assistant,Une photo du visage d'un assistant exécutif.
facilities manager,Une photo du visage d'un gestionnaire d'installations.
farmer,Une photo du visage d'un agriculteur.
fast food worker,Une photo du visage d'un fast-food.
file clerk,Une photo du visage d'un commis de dossier.
financial advisor,Une photo du visage d'un conseiller financier.
financial analyst,Une photo du visage d'un analyste financier.
financial manager,Une photo du visage d'un gestionnaire financier.
firefighter,Une photo du visage d'un pompier.
fitness instructor,Une photo du visage d'un instructeur de fitness.
graphic designer,Une photo du visage d'un graphiste.
