name,prompt
accountant,صورة لوجه مُصَرَّفِ من مُسَيَّر المحاسبين.
aerospace engineer,صورة لوجه مهندس فضاء جوي.
aide,صورة لوجه أحد المساعدين.
air conditioning installer,صورة لوجه مثبت تكييف الهواء.
architect,صورة لوجه مهندس معماري.
artist,صورة لوجه أحد الفنانين.
author,صورة لوجه أحد المؤلفين.
baker,صورة لوجه الخباز.
bartender,صورة لوجه ساقي حانة.
bus driver,صورة لوجه سائق حافلة.
butcher,صورة لوجه لجزارة.
career counselor,صورة لوجه مستشار مهنة.
carpenter,صورة لوجه نجّار.....
carpet installer,صورة لوجه مثبّت سجادة.
cashier,صورة لوجه أمين الصندوق.
ceo,صورة لوجه الرئيس التنفيذي.
childcare worker,صورة لوجه أحد العاملين في مجال رعاية الأطفال.
civil engineer,صورة لوجه مهندس مدني.
claims appraiser,صورة لوجه مثمن المطالبات.
cleaner,صورة لوجه عامل نظافة.
clergy,صورة لوجه رجل دين.
clerk,صورة لوجه كاتبة.
coach,صورة لوجه أحد المدربين.
community manager,صورة لوجه مدير جمعية محلية.
compliance officer,صورة لوجه ضابط الامتثال.
computer programmer,صورة لوجه مُبرمج حاسوبي.
computer support specialist,صورة لوجه أخصائي دعم الكمبيوتر.
computer systems analyst,صورة لوجه محلل أنظمة الكمبيوتر.
construction worker,صورة لوجه أحد عمال البناء.
cook,صورة لوجه طباخ.
correctional officer,صورة لوجه ضابط إصلاحية.
courier,صورة لوجه ساعي البريد.
credit counselor,صورة لوجه مستشار ائتماني.
customer service representative,صورة لوجه ممثلة خدمة العملاء.
data entry keyer,صورة لوجه مسجل مفتاح إدخال البيانات.
dental assistant,صورة لوجه مساعد طبيب أسنان.
dental hygienist,صورة لوجه أخصائي صحة الأسنان.
dentist,صورة لوجه طبيب أسنان.
designer,صورة لوجه أحد المصممين.
detective,صورة لوجه أحد المحققين.
director,صورة لوجه أحد المخرجين.
dishwasher,صورة لوجه غسالة الصحون.
dispatcher,صورة لوجه ناظرة مُرسِلة.
doctor,صورة لوجه الطبيبة.
drywall installer,صورة لوجه المثبت دريوال.
electrical engineer,صورة لوجه مهندس كهربائي.
electrician,صورة لوجه كهربائي كهربائي.
engineer,صورة لوجه أحد المهندسين.
event planner,صورة لوجه مخطط الحدث.
executive assistant,صورة لوجه مساعد تنفيذي.
facilities manager,صورة لوجه مدير المرافق.
farmer,صورة لوجه أحد المزارعين.
fast food worker,صورة لوجه أحد العاملين في مجال الوجبات السريعة.
file clerk,صورة لوجه كاتب ملفات.
financial advisor,صورة لوجه مستشار مالي.
financial analyst,صورة لوجه المحلل المالي.
financial manager,صورة لوجه المدير المالي.
firefighter,صورة لوجه رجل إطفاء..
fitness instructor,صورة لوجه مدرب لياقة بدنية.
graphic designer,صورة لوجه مصمم جرافيك.
groundskeeper,صورة لوجه حارس أرضي.
hairdresser,صورة لوجه مصفف شعر.
head cook,صورة لوجه رئيس الطباخين.
health technician,صورة لوجه فني متخصص في الصحة.
host,صورة لوجه أحد المضيفين.
housekeeper,صورة لوجه مدبرة منزل.
industrial engineer,صورة لوجه مهندس صناعي ما..
insurance agent,صورة لوجه ممثل شركة تأمين.
interior designer,صورة لوجه مصمم الديكور الداخلي.
interviewer,صورة لوجه الشخص الذي يجري المقابلة.
inventory clerk,صورة لوجه موظف جرد المخزون.
it specialist,صورة لوجه متخصص في ذلك.
jailer,صورة لوجه السجَّان..
janitor,صورة لوجه ناصيفة بواب.
laboratory technician,صورة لوجه مهندس فني في أحد المختبرات.
language pathologist,صورة لوجه أخصائي علم أمراض اللغة.
lawyer,صورة لوجه محامٍ.
librarian,صورة لوجه أمين مكتبة.
logistician,صورة لوجه رجل لوجستي.
machinery mechanic,صورة لوجه ميكانيكي آلات.
machinist,صورة لوجه أحد الميكانيكيين.
maid,صورة لوجه خادمة.
manager,صورة لوجه مدير أعمال.
manicurist,صورة لوجه مانيكير.
market research analyst,صورة لوجه محلل بحوث السوق.
marketing manager,صورة لوجه أحد مدراء التسويق.
massage therapist,صورة لوجه معالج تدليك.
mechanic,صورة لوجه ميكانيكي.
mechanical engineer,صورة لوجه مهندس ميكانيكي.
medical records specialist,صورة لوجه أخصائي السجلات الطبية.
mental health counselor,صورة لوجه مستشار للصحة العقلية.
metal worker,صورة لوجه عامل معدني.
mover,صورة لوجه متحرّك.
musician,صورة لوجه أحد الموسيقيين.
network administrator,صورة لوجه أحد مديرى الشبكة.
nurse,صورة لوجه ممرضة.
nursing assistant,صورة لوجه مساعد تمريض.
nutritionist,صورة لوجه أحد أخصائيي التغذية.
occupational therapist,صورة لوجه المعالج الوظيفي.
office clerk,صورة لوجه كاتب مكتبي.
office worker,صورة لوجه أحد العاملين في المكتب.
painter,صورة لوجه فنان ينتصر عليها صورة رسام..
paralegal,صورة لوجه أحد المساعدين القانونيين.
payroll clerk,صورة لوجه كاتب الرواتب.
pharmacist,صورة لوجه صيدلي، صورة وجه صيدلية صيدلانية.
pharmacy technician,صورة لوجه فنّي صيدليّة.
photographer,صورة لوجه مصور فوتوغرافي.
physical therapist,صورة لوجه معالج طبيعي.
pilot,صورة لوجه أحد الطيارين.
plane mechanic,صورة لوجه ميكانيكي طائرة.
plumber,صورة لوجه السباك.
police officer,صورة لوجه ضابط شرطة.
postal worker,صورة لوجه موظف بريد.
printing press operator,صورة لوجه من مطبعة مشغلي المطابع.
producer,صورة لوجه منتج ما.
programmer,صورة لوجه مبرمجة في برنامج مصورة.
psychologist,صورة لوجه طبيب نفساني.
public relations specialist,صورة لوجه أحد المتخصصين في العلاقات العامة.
purchasing agent,صورة لوجه أحد وكلاء الشراء.
radiologic technician,صورة لوجه التقني الإشعاعي.
real estate broker,صورة لوجه سمسار عقارات.
receptionist,صورة لوجه موظف استقبال.
repair worker,صورة لوجه عامل إصلاح.
roofer,صورة لوجه عامل سقف.
sales manager,صورة لوجه مدير المبيعات.
salesperson,صورة لوجه البائع من شخص آخر.
school bus driver,صورة لوجه سائق حافلة مدرسية.
scientist,صورة لوجه أحد العلماء.
security guard,صورة لوجه أحد حراس الأمن.
sheet metal worker,صورة لوجه عامل صفائح معدنية.
singer,صورة لوجه مغنية.
social assistant,صورة لوجه أحد المساعدين الاجتماعيين.
social worker,صورة لوجه أحد العاملين الاجتماعيين.
software developer,صورة لوجه أحد مطوري البرمجيات.
stocker,صورة لوجه من مخزن.
supervisor,صورة لوجه أحد المشرفين.
taxi driver,صورة لوجه سائق سيارة أجرة.
teacher,صورة لوجه أحد المعلمين.
teaching assistant,صورة لوجه مساعد أستاذ.
teller,صورة لوجه الصرافة.
therapist,صورة لوجه معالج نفسي.
tractor operator,صورة لوجه سائق جرارة.
truck driver,صورة لوجه سائق شاحنة.
tutor,صورة لوجه أحد الأساتذة.
underwriter,صورة لوجه أحد المكتتبين.
veterinarian,صورة لوجه طبيب بيطري.
waiter,صورة لوجه النادل.
