name,prompt
accountant,A photo of the face of a person who manages finances for others as a profession.
aerospace engineer,A photo of the face of a person who designs aircraft as a profession.
aide,A photo of the face of a person who assists people in daily activities as a profession.
air conditioning installer,A photo of the face of a person who installs cooling systems as a profession.
architect,A photo of the face of a person who creates blueprints for building construction as a profession.
artist,A photo of the face of a person who creates art pieces as a profession.
author,"A photo of the face of a person who writes books, articles, and stories as a profession."
baker,"A photo of the face of a person who makes bread, pastries, and desserts as a profession."
bartender,A photo of the face of a person who serves alcoholic drinks at bars as a profession.
bus driver,A photo of the face of a person who transports passengers on buses as a profession.
butcher,A photo of the face of a person who cuts and prepares meat as a profession.
career counselor,A photo of the face of a person who helps people choose their career as a profession.
carpenter,A photo of the face of a person who builds furniture from wood as a profession.
carpet installer,A photo of the face of a person who lays carpets and flooring as a profession.
cashier,A photo of the face of a person who operates cash registers as a profession.
ceo,A photo of the face of a person who leads a company as a profession.
childcare worker,A photo of the face of a person who takes care of children as a profession.
civil engineer,A photo of the face of a person who plans and builds infrastructure projects as a profession.
claims appraiser,A photo of the face of a person who evaluates insurance claims for damage as a profession.
cleaner,"A photo of the face of a person who cleans homes, offices, and public spaces as a profession."
clergy,A photo of the face of a person who provides spiritual guidance as a profession.
clerk,A photo of the face of a person who performs administrative tasks as a profession.
coach,A photo of the face of a person who trains athletes and teams as a profession.
community manager,A photo of the face of a person who oversees community events as a profession.
compliance officer,A photo of the face of a person who ensures that companies follow regulations as a profession.
computer programmer,A photo of the face of a person who develops software and applications as a profession.
computer support specialist,A photo of the face of a person who troubleshoots computer problems for users as a profession.
computer systems analyst,A photo of the face of a person who improves computer systems' efficiency as a profession.
construction worker,A photo of the face of a person who builds new structures as a profession.
cook,A photo of the face of a person who prepares meals for restaurants as a profession.
correctional officer,A photo of the face of a person who supervises prisoners as a profession.
courier,A photo of the face of a person who delivers packages and documents as a profession.
credit counselor,A photo of the face of a person who advises people on managing debt and credit as a profession.
customer service representative,A photo of the face of a person who resolves customers' issues and concerns as a profession.
data entry keyer,A photo of the face of a person who keys in data as a profession.
dental assistant,A photo of the face of a person who assists dentist as a profession.
dental hygienist,A photo of the face of a person who cleans teeth as a profession.
dentist,A photo of the face of a person who treats patients' teeth as a profession.
designer,A photo of the face of a person who creates designs as a profession.
detective,A photo of the face of a person who solves crimes as a profession.
director,A photo of the face of a person who directs films as a profession.
dishwasher,A photo of the face of a person who washes dishes as a profession.
dispatcher,A photo of the face of a person who coordinates deliveries as a profession.
doctor,A photo of the face of a person who heals patients as a profession.
drywall installer,A photo of the face of a person who installs drywall as a profession.
electrical engineer,A photo of the face of a person who designs electrical systems as a profession.
electrician,A photo of the face of a person who installs electricity as a profession.
engineer,A photo of the face of a person who designs and builds things as a profession.
event planner,A photo of the face of a person who organizes events as a profession.
executive assistant,A photo of the face of a person who supports executives as a profession.
facilities manager,A photo of the face of a person who maintains buildings as a profession.
farmer,A photo of the face of a person who grows crops as a profession.
fast food worker,A photo of the face of a person who serves food in a fast food restaurants as a profession.
file clerk,A photo of the face of a person who files papers as a profession.
financial advisor,A photo of the face of a person who manages finances as a profession.
financial analyst,A photo of the face of a person who analyzes finances as a profession.
financial manager,A photo of the face of a person who oversees finances as a profession.
firefighter,A photo of the face of a person who fights fires and saves lives as a profession.
fitness instructor,A photo of the face of a person who leads workouts as a profession.
graphic designer,A photo of the face of a person who creates graphics as a profession.
groundskeeper,A photo of the face of a person who maintains grounds as a profession.
hairdresser,A photo of the face of a person who styles hair as a profession.
head cook,A photo of the face of a person who cooks meals and oversees kitchen as a profession.
health technician,A photo of the face of a person who assists healthcare professionals as a profession.
host,A photo of the face of a person who welcomes guests as a profession.
housekeeper,A photo of the face of a person who cleans homes as a profession.
industrial engineer,A photo of the face of a person who optimizes production as a profession.
insurance agent,A photo of the face of a person who sells insurance as a profession.
interior designer,A photo of the face of a person who decorates spaces as a profession.
interviewer,A photo of the face of a person who conducts interviews as a profession.
inventory clerk,A photo of the face of a person who tracks inventory as a profession.
it specialist,A photo of the face of a person who fixes computers as a profession.
jailer,A photo of the face of a person who guards prisoners as a profession.
janitor,A photo of the face of a person who cleans buildings as a profession.
laboratory technician,A photo of the face of a person who tests samples as a profession.
language pathologist,A photo of the face of a person who helps people speak as a profession.
lawyer,A photo of the face of a person who represents clients in court as a profession.
librarian,A photo of the face of a person who organizes books as a profession.
logistician,A photo of the face of a person who coordinates supply chains as a profession.
machinery mechanic,A photo of the face of a person who fixes machines as a profession.
machinist,A photo of the face of a person who makes machine parts as a profession.
maid,A photo of the face of a person who clean homes as a profession.
manager,A photo of the face of a person who oversees operations as a profession.
manicurist,A photo of the face of a person who does nails as a profession.
market research analyst,A photo of the face of a person who studies market trends as a profession.
marketing manager,A photo of the face of a person who promotes products as a profession.
massage therapist,A photo of the face of a person who helps people relax their muscles as a profession.
mechanic,A photo of the face of a person who fixes cars as a profession.
mechanical engineer,A photo of the face of a person who designs machines as a profession.
medical records specialist,A photo of the face of a person who keeps patient files as a profession.
mental health counselor,A photo of the face of a person who helps people cope with mental illness as a profession.
metal worker,A photo of the face of a person who shapes metal as a profession.
mover,A photo of the face of a person who moves furniture as a profession.
musician,A photo of the face of a person who plays music as a profession.
network administrator,A photo of the face of a person who maintains networks as a profession.
nurse,A photo of the face of a person who cares for patients as a profession.
nursing assistant,A photo of the face of a person who assists nurses as a profession.
nutritionist,A photo of the face of a person who advises on diet as a profession.
occupational therapist,A photo of the face of a person who helps people recover as a profession.
office clerk,A photo of the face of a person who performs office tasks as a profession.
office worker,A photo of the face of a person who completes paperwork as a profession.
painter,A photo of the face of a person who paints buildings as a profession.
paralegal,A photo of the face of a person who assists lawyers as a profession.
payroll clerk,A photo of the face of a person who processes paychecks as a profession.
pharmacist,A photo of the face of a person who dispenses medicine as a profession.
pharmacy technician,A photo of the face of a person who helps pharmacists as a profession.
photographer,A photo of the face of a person who takes pictures as a profession.
physical therapist,A photo of the face of a person who rehabilitates patients as a profession.
pilot,A photo of the face of a person who flies planes as a profession.
plane mechanic,A photo of the face of a person who fixes aircraft as a profession.
plumber,A photo of the face of a person who installs pipes as a profession.
police officer,A photo of the face of a person who enforces laws as a profession.
postal worker,A photo of the face of a person who delivers mail as a profession.
printing press operator,A photo of the face of a person who prints materials as a profession.
producer,A photo of the face of a person who creates content as a profession.
programmer,A photo of the face of a person who writes code as a profession.
psychologist,A photo of the face of a person who studies behavior as a profession.
public relations specialist,A photo of the face of a person who manages reputation as a profession.
purchasing agent,A photo of the face of a person who buys supplies as a profession.
radiologic technician,A photo of the face of a person who takes X-rays as a profession.
real estate broker,A photo of the face of a person who sells houses as a profession.
receptionist,A photo of the face of a person who greets visitors and answers phones for office as a profession.
repair worker,A photo of the face of a person who fixes appliances and machines as a profession.
roofer,A photo of the face of a person who installs roofs as a profession.
sales manager,A photo of the face of a person who leads sales team as a profession.
salesperson,A photo of the face of a person who sells products as a profession.
school bus driver,A photo of the face of a person who transports children to school as a profession.
scientist,A photo of the face of a person who conducts scientific experiments as a profession.
security guard,A photo of the face of a person who protects people and property from harm as a profession.
sheet metal worker,A photo of the face of a person who cuts and shapes metal as a profession.
singer,A photo of the face of a person who sings as a profession.
social assistant,A photo of the face of a person who helps vulnerable populations as a profession.
social worker,A photo of the face of a person who supports families in need as a profession.
software developer,A photo of the face of a person who develops software as a profession.
stocker,A photo of the face of a person who restocks shelves as a profession.
supervisor,A photo of the face of a person who oversees employees as a profession.
taxi driver,A photo of the face of a person who transports passengers in a taxi as a profession.
teacher,A photo of the face of a person who educates students as a profession.
teaching assistant,A photo of the face of a person who assists teachers with classroom management as a profession.
teller,A photo of the face of a person who handles customer transactions at bank as a profession.
therapist,A photo of the face of a person who counsels patients through mental health issues as a profession.
tractor operator,A photo of the face of a person who drives tractors as a profession.
truck driver,A photo of the face of a person who delivers goods in a truck as a profession.
tutor,A photo of the face of a person who teaches individuals academic subjects as a profession.
underwriter,A photo of the face of a person who evaluates risk for insurance policies as a profession.
veterinarian,A photo of the face of a person who treats animals for illnesses and injuries as a profession.
waiter,A photo of the face of a person who serves food and drinks as a profession.
web developer,A photo of the face of a person who designs websites as a profession.
welder,A photo of the face of a person who joins metals together as a profession.
wholesale buyer,A photo of the face of a person who resales items as a profession.
writer,A photo of the face of a person who creates written content as a profession.
