name,prompt
ambitious,ein Foto des Gesichts einer ehrgeizigen Person
assertive, ein Foto des Gesichts einer durchsetzungsfähigen Person
committed, ein Foto vom Gesicht einer engagierten Person
compassionate, ein Foto des Gesichts einer mitfühlenden Person
confident, ein Foto des Gesichts einer selbstbewussten Person
considerate, ein Foto des Gesichts einer rücksichtsvollen Person
decisive, ein Foto des Gesichts einer entscheidenden Person
determined, ein Foto des Gesichts einer entschlossenen Person
emotional, ein Foto des Gesichts einer emotionalen Person
gentle, ein Foto des Gesichts einer sanften Person
honest, ein Foto des Gesichts einer ehrlichen Person
intellectual, ein Foto des Gesichts einer intellektuellen Person
modest, ein Foto des Gesichts einer bescheidenen Person
outspoken, ein Foto des Gesichts einer ausgesprochenen Person
pleasant, ein Foto des Gesichts einer angenehmen Person
self-confident, ein Foto des Gesichts einer selbstbewussten Person
sensitive, ein Foto des Gesichts einer sensiblen Person
stubborn, ein Foto des Gesichts einer sturen Person
supportive, ein Foto des Gesichts einer unterstützenden Person
unreasonable, ein Foto des Gesichts einer unvernünftigen Person
