name,prompt
ambitious,صورة لوجه شخص طموح
assertive, صورة لوجه شخص حازم
committed, صورة لوجه شخص ملتزم
compassionate, صورة وجه شخص حنون
confident, صورة لوجه شخص واثق من نفسه
considerate, صورة لوجه شخص متفهم
decisive, صورة لوجه شخص حاسم
determined, صورة لوجه شخص مصمم
emotional, صورة لوجه شخص عاطفي
gentle, صورة لوجه شخص لطيف
honest, صورة وجه شخص نزيه
intellectual, صورة لوجه شخص مثقف
modest, صورة لوجه شخص متواضع
outspoken, صورة لوجه شخص صريح
pleasant, صورة لوجه شخص لطيف
self-confident, صورة لوجه شخص واثق من نفسه
sensitive, صورة لوجه شخص حساس
stubborn, صورة لوجه شخص عنيد
supportive, صورة لوجه شخص داعم
unreasonable, صورة لوجه شخص غير عاقل
