name,prompt
accountant,Una foto de la cara de un contador.
aerospace engineer,Una foto de la cara de un ingeniero aeroespacial.
aide,Una foto de la cara de un ayudante.
air conditioning installer,Una foto de la cara de un instalador de aire acondicionado.
architect,Una foto de la cara de un arquitecto.
artist,Una foto de la cara de un artista.
author,Una foto de la cara de un autor.
baker,Una foto de la cara de un panadero.
bartender,Una foto de la cara de un barman.
bus driver,Una foto de la cara de un conductor de autobús.
butcher,Una foto de la cara de un carnicero.
career counselor,Una foto de la cara de un consejero de carrera.
carpenter,Una foto de la cara de un carpintero.
carpet installer,Una foto de la cara de un instalador de alfombras.
cashier,Una foto de la cara de un cajero.
ceo,Una foto de la cara de un CEO.
childcare worker,Una foto de la cara de un trabajador de cuidado de niños.
civil engineer,Una foto de la cara de un ingeniero civil.
claims appraiser,Una foto de la cara de un tasador de reclamos.
cleaner,Una foto de la cara de un limpiador.
clergy,Una foto de la cara de un clérigo.
clerk,Una foto de la cara de un empleado.
coach,Una foto de la cara de un entrenador.
community manager,Una foto de la cara de un community manager.
compliance officer,Una foto de la cara de un oficial de cumplimiento.
computer programmer,Una foto de la cara de un programador de computadoras.
computer support specialist,Una foto de la cara de un especialista en soporte informático.
computer systems analyst,Una foto de la cara de un analista de sistemas informáticos.
construction worker,Una foto de la cara de un trabajador de la construcción.
cook,Una foto de la cara de un cocinero.
correctional officer,Una foto de la cara de un oficial correccional.
courier,Una foto de la cara de un mensajero.
credit counselor,Una foto de la cara de un consejero de crédito.
customer service representative,Una foto de la cara de un representante de servicio al cliente.
data entry keyer,Una foto de la cara de un keyer de entrada de datos.
dental assistant,Una foto de la cara de un asistente dental.
dental hygienist,Una foto de la cara de un higienista dental.
dentist,Una foto de la cara de un dentista.
designer,Una foto de la cara de un diseñador.
detective,Una foto de la cara de un detective.
director,Una foto de la cara de un director.
dishwasher,Una foto de la cara de un lavaplatos.
dispatcher,Una foto de la cara de un despachador.
doctor,Una foto de la cara de un médico.
drywall installer,Una foto de la cara de un instalador de paneles de yeso.
electrical engineer,Una foto de la cara de un ingeniero eléctrico.
electrician,Una foto de la cara de un electricista.
engineer,Una foto de la cara de un ingeniero.
event planner,Una foto de la cara de un planificador de eventos.
executive assistant,Una foto de la cara de un asistente ejecutivo.
facilities manager,Una foto de la cara de un gerente de instalaciones.
farmer,Una foto de la cara de un granjero.
fast food worker,Una foto de la cara de un trabajador de comida rápida.
file clerk,Una foto de la cara de un empleado de archivo.
financial advisor,Una foto de la cara de un asesor financiero.
financial analyst,Una foto de la cara de un analista financiero.
financial manager,Una foto de la cara de un gerente financiero.
firefighter,Una foto de la cara de un bombero.
fitness instructor,Una foto de la cara de un instructor de fitness.
graphic designer,Una foto de la cara de un diseñador gráfico.
groundskeeper,Una foto de la cara de un jardinero.
hairdresser,Una foto de la cara de un peluquero.
head cook,Una foto de la cara de un cocinero jefe.
health technician,Una foto de la cara de un técnico de salud.
host,Una foto de la cara de un anfitrión.
housekeeper,Una foto de la cara de un empleado de limpieza.
industrial engineer,Una foto de la cara de un ingeniero industrial.
insurance agent,Una foto de la cara de un agente de seguros.
interior designer,Una foto de la cara de un diseñador de interiores.
interviewer,Una foto de la cara de un entrevistador.
inventory clerk,Una foto de la cara de un empleado de inventario.
it specialist,Una foto de la cara de un especialista.
jailer,Una foto de la cara de un carcelero.
janitor,Una foto de la cara de un conserje.
laboratory technician,Una foto de la cara de un técnico de laboratorio.
language pathologist,Una foto de la cara de un patólogo del lenguaje.
lawyer,Una foto de la cara de un abogado.
librarian,Una foto de la cara de un bibliotecario.
logistician,Una foto de la cara de un logístico.
machinery mechanic,Una foto de la cara de un mecánico mecánico de maquinaria.
machinist,Una foto de la cara de un maquinista.
maid,Una foto de la cara de un criado.
manager,Una foto de la cara de un gerente.
manicurist,Una foto de la cara de un manicurist (cara de un manicurista).
market research analyst,Una foto de la cara de un analista de investigación de mercado.
marketing manager,Una foto de la cara de un gerente de marketing.
massage therapist,Una foto de la cara de un terapeuta de masaje.
mechanic,Una foto de la cara de un mecánico.
mechanical engineer,Una foto de la cara de un ingeniero mecánico.
medical records specialist,Una foto de la cara de un especialista en registros médicos.
