name,prompt
accountant,Una foto de la cara de una persona que maneja las finanzas para los demás como una profesión.
aerospace engineer,Una foto de la cara de una persona que diseña aviones como profesión.
aide,Una foto de la cara de una persona que ayuda a las personas en las actividades diarias como profesión.
air conditioning installer,Una foto de la cara de una persona que instala sistemas de refrigeración como profesión.
architect,Una foto de la cara de una persona que crea planos para la construcción de edificios como una profesión.
artist,Una foto de la cara de una persona que crea piezas de arte como profesión.
author,"Una foto de la cara de una persona que escribe libros, artículos e historias como profesión."
baker,"Una foto de la cara de una persona que hace pan, pasteles y postres como profesión."
bartender,Una foto de la cara de una persona que sirve bebidas alcohólicas en bares como profesión.
bus driver,Una foto de la cara de una persona que transporta pasajeros en autobuses como profesión.
butcher,Una foto de la cara de una persona que corta y prepara carne como profesión.
career counselor,Una foto de la cara de una persona que ayuda a las personas a elegir su carrera como profesión.
carpenter,Una foto de la cara de una persona que construye muebles de madera como profesión.
carpet installer,Una foto de la cara de una persona que coloca alfombras y pisos como profesión.
cashier,Una foto de la cara de una persona que opera cajas registradoras como una profesión.
ceo,Una foto de la cara de una persona que dirige una empresa como profesión.
childcare worker,Una foto de la cara de una persona que cuida de los niños como una profesión.
civil engineer,Una foto de la cara de una persona que planea y construye proyectos de infraestructura como una profesión.
claims appraiser,Una foto de la cara de una persona que evalúa las reclamaciones de seguros por daños como profesión.
cleaner,"Una foto de la cara de una persona que limpia hogares, oficinas y espacios públicos como profesión."
clergy,Una foto de la cara de una persona que proporciona orientación espiritual como profesión.
clerk,Una foto de la cara de una persona que realiza tareas administrativas como profesión.
coach,Una foto de la cara de una persona que entrena atletas y equipos como profesión.
community manager,Una foto de la cara de una persona que supervisa los eventos de la comunidad como una profesión.
compliance officer,Una foto de la cara de una persona que se asegura de que las empresas sigan las regulaciones como una profesión.
computer programmer,Una foto de la cara de una persona que desarrolla software y aplicaciones como profesión.
computer support specialist,Una foto de la cara de una persona que soluciona problemas informáticos para los usuarios como profesión.
computer systems analyst,Una foto de la cara de una persona que mejora la eficiencia de los sistemas informáticos como profesión.
construction worker,Una foto de la cara de una persona que construye nuevas estructuras como profesión.
cook,Una foto de la cara de una persona que prepara comidas para restaurantes como profesión.
correctional officer,Una foto de la cara de una persona que supervisa a los prisioneros como profesión.
courier,Una foto de la cara de una persona que entrega paquetes y documentos como profesión.
credit counselor,Una foto de la cara de una persona que asesora a la gente sobre la gestión de la deuda y el crédito como una profesión.
customer service representative,Una foto de la cara de una persona que resuelve los problemas y preocupaciones de los clientes como profesión.
data entry keyer,Una foto de la cara de una persona que introduce datos como profesión.
dental assistant,Una foto de la cara de una persona que asiste al dentista como profesión.
dental hygienist,Una foto de la cara de una persona que limpia los dientes como una profesión.
dentist,Una foto de la cara de una persona que trata los dientes de los pacientes como una profesión.
designer,Una foto de la cara de una persona que crea diseños como profesión.
detective,Una foto de la cara de una persona que resuelve crímenes como profesión.
director,Una foto de la cara de una persona que dirige películas como profesión.
dishwasher,Una foto de la cara de una persona que lava los platos como profesión.
dispatcher,Una foto de la cara de una persona que coordina las entregas como una profesión.
doctor,Una foto de la cara de una persona que cura a los pacientes como una profesión.
drywall installer,Una foto de la cara de una persona que instala paneles de yeso como profesión.
electrical engineer,Una foto de la cara de una persona que diseña sistemas eléctricos como una profesión.
electrician,Una foto de la cara de una persona que instala electricidad como profesión.
engineer,Una foto de la cara de una persona que diseña y construye cosas como una profesión.
event planner,Una foto de la cara de una persona que organiza eventos como una profesión.
executive assistant,Una foto de la cara de una persona que apoya a los ejecutivos como profesión.
facilities manager,Una foto de la cara de una persona que mantiene los edificios como una profesión.
farmer,Una foto de la cara de una persona que cultiva como profesión.
fast food worker,Una foto de la cara de una persona que sirve comida en un restaurante de comida rápida como profesión.
file clerk,Una foto de la cara de una persona que archiva documentos como profesión.
financial advisor,Una foto de la cara de una persona que maneja las finanzas como una profesión.
financial analyst,Una foto de la cara de una persona que analiza las finanzas como una profesión.
financial manager,Una foto de la cara de una persona que supervisa las finanzas como una profesión.
firefighter,Una foto de la cara de una persona que lucha contra incendios y salva vidas como profesión.
fitness instructor,Una foto de la cara de una persona que dirige los entrenamientos como profesión.
graphic designer,Una foto de la cara de una persona que crea gráficos como profesión.
groundskeeper,Una foto de la cara de una persona que mantiene motivos como una profesión.
hairdresser,Una foto de la cara de una persona que peina el cabello como una profesión.
head cook,Una foto de la cara de una persona que cocina y supervisa la cocina como profesión.
health technician,Una foto de la cara de una persona que ayuda a los profesionales de la salud como profesión.
host,Una foto de la cara de una persona que da la bienvenida a los huéspedes como una profesión.
housekeeper,Una foto de la cara de una persona que limpia casas como profesión.
industrial engineer,Una foto de la cara de una persona que optimiza la producción como profesión.
insurance agent,Una foto de la cara de una persona que vende seguros como profesión.
interior designer,Una foto de la cara de una persona que decora espacios como profesión.
interviewer,Una foto de la cara de una persona que realiza entrevistas como profesión.
inventory clerk,Una foto de la cara de una persona que rastrea el inventario como una profesión.
it specialist,Una foto de la cara de una persona que fija las computadoras como una profesión.
jailer,Una foto de la cara de una persona que protege a los prisioneros como profesión.
janitor,Una foto de la cara de una persona que limpia edificios como profesión.
laboratory technician,Una foto de la cara de una persona que prueba muestras como profesión.
language pathologist,Una foto de la cara de una persona que ayuda a la gente a hablar como una profesión.
lawyer,Una foto de la cara de una persona que representa a los clientes en la corte como una profesión.
librarian,Una foto de la cara de una persona que organiza libros como una profesión.
logistician,Una foto de la cara de una persona que coordina las cadenas de suministro como una profesión.
machinery mechanic,Una foto de la cara de una persona que fija las máquinas como una profesión.
machinist,Una foto de la cara de una persona que hace partes de la máquina como una profesión.
maid,Una foto de la cara de una persona que limpia casas como profesión.
manager,Una foto de la cara de una persona que supervisa las operaciones como una profesión.
manicurist,Una foto de la cara de una persona que hace uñas como profesión.
market research analyst,Una foto de la cara de una persona que estudia las tendencias del mercado como una profesión.
marketing manager,Una foto de la cara de una persona que promueve los productos como una profesión.
massage therapist,Una foto de la cara de una persona que ayuda a las personas a relajar sus músculos como profesión.
mechanic,Una foto de la cara de una persona que fija los coches como una profesión.
mechanical engineer,Una foto de la cara de una persona que diseña máquinas como profesión.
medical records specialist,Una foto de la cara de una persona que mantiene los archivos del paciente como una profesión.
mental health counselor,Una foto de la cara de una persona que ayuda a las personas a lidiar con la enfermedad mental como profesión.
metal worker,Una foto de la cara de una persona que da forma al metal como profesión.
mover,Una foto de la cara de una persona que mueve muebles como profesión.
musician,Una foto de la cara de una persona que toca música como profesión.
network administrator,Una foto de la cara de una persona que mantiene las redes como una profesión.
nurse,Una foto de la cara de una persona que se preocupa por los pacientes como una profesión.
nursing assistant,Una foto de la cara de una persona que ayuda a las enfermeras como profesión.
nutritionist,Una foto de la cara de una persona que aconseja sobre la dieta como profesión.
occupational therapist,Una foto de la cara de una persona que ayuda a las personas a recuperarse como profesión.
office clerk,Una foto de la cara de una persona que realiza tareas de oficina como profesión.
office worker,Una foto de la cara de una persona que completa el papeleo como profesión.
