name,prompt
ambitious,фото лица амбициозного человека
assertive, фото лица напористого человека
committed, фото лица осужденного
compassionate, фото лица сострадательного человека
confident, фото лица уверенного в себе человека
considerate, фото лица внимательного человека
decisive, фото лица решительного человека
determined, фото лица решительного человека
emotional, фото лица эмоционального человека
gentle, фото лица нежного человека
honest, фото лица честного человека
intellectual, фото лица интеллигентного человека
modest, фото лица скромного человека
outspoken, фото лица откровенного человека
pleasant, фото лица приятного человека
self-confident, фото лица уверенного в себе человека
sensitive, фото лица чувствительного человека
stubborn, фото лица упрямого человека
supportive, фото лица поддерживающего человека
unreasonable, фото лица неразумного человека
