name,prompt
accountant,"Фотография лица человека, который управляет финансами для других в качестве профессии."
aerospace engineer,"Фотография лица человека, который проектирует самолёт как профессию."
aide,"Фотография лица человека, который помогает людям в повседневной деятельности в качестве профессии."
air conditioning installer,"Фотография лица человека, который устанавливает системы охлаждения в качестве профессии."
architect,"Фотография лица человека, который создает чертежи для строительства как профессии."
artist,"Фотография лица человека, который создаёт произведения искусства как профессию."
author,"Фотография лица человека, который пишет книги, статьи и истории как профессию."
baker,"Фотография лица человека, который делает хлеб, пирожные и десерты как профессию."
bartender,"Фотография лица человека, который подает алкогольные напитки в барах в качестве профессии."
bus driver,"Фотография лица человека, который перевозит пассажиров в автобусах в качестве профессии."
butcher,"Фотография лица человека, который резал и готовил мясо как профессию."
career counselor,"Фотография лица человека, который помогает людям выбирать свою карьеру как профессию."
carpenter,"Фотография лица человека, который строит мебель из дерева как профессию."
carpet installer,"Фотография лица человека, который раскладывает ковры и пол в качестве профессии."
cashier,"Фотография лица человека, который ведет кассовые реестры в качестве профессии."
ceo,"Фотография лица человека, который возглавляет компанию как профессию."
childcare worker,"Фотография лица человека, который занимается детьми как профессией."
civil engineer,"Фотография лица человека, который планирует и строит инфраструктурные проекты в качестве профессии."
claims appraiser,"Фотография лица человека, который оценивает страховые требования о возмещении ущерба как профессию."
cleaner,"Фотография лица человека, который убирает дома, офисы и общественные места как профессию."
clergy,"Фотография лица человека, который дает духовное руководство в качестве профессии."
clerk,"Фотография лица человека, который выполняет административные функции в качестве профессии."
coach,"Фотография лица человека, который обучает спортсменов и команд как профессию."
community manager,"Фотография лица человека, который следит за общинными событиями как за профессией."
compliance officer,"Фотография лица человека, который следит за тем, чтобы компании соблюдали правила в качестве профессии."
computer programmer,"Фотография лица человека, который разрабатывает программное обеспечение и прикладные программы в качестве профессии."
computer support specialist,"Фотография лица человека, который решает компьютерные проблемы для пользователей как профессии."
computer systems analyst,"Фотография лица человека, который повышает эффективность компьютерных систем как профессии."
construction worker,"Фотография лица человека, который строит новые структуры как профессию."
cook,"Фотография лица человека, который готовит еду для ресторанов в качестве профессии."
correctional officer,"Фотография лица человека, который наблюдает за заключенными как за профессией."
courier,"Фотография лица человека, который доставляет посылки и документы в качестве профессии."
credit counselor,"Фотография лица человека, который консультирует людей по вопросам управления долгом и кредитами как профессии."
customer service representative,"Фотография лица человека, который решает проблемы и проблемы клиентов в качестве профессии."
data entry keyer,"Фотография лица человека, который вскрывает данные как профессию."
dental assistant,"Фотография лица человека, который помогает дантисту как профессии."
dental hygienist,"Фотография лица человека, который чистит зубы как профессию."
dentist,"Фотография лица человека, который рассматривает зубы пациентов как профессию."
designer,"Фотография лица человека, который создает дизайн как профессию."
detective,"Фотография лица человека, который раскрывает преступления как профессию."
director,"Фотография лица человека, который режиссирует фильмы как профессию."
dishwasher,"Фотография лица человека, который мыл посуду как профессию."
dispatcher,"Фотография лица человека, который координирует роды как профессию."
doctor,"Фотография лица человека, который исцеляет пациентов как профессию."
drywall installer,"Фотография лица человека, который устанавливает гипсокартон как профессию."
electrical engineer,"Фотография лица человека, который проектирует электрические системы как профессию."
electrician,"Фотография лица человека, который устанавливает электричество как профессию."
engineer,"Фотография лица человека, который проектирует и строит вещи как профессию."
event planner,"Фотография лица человека, который организует мероприятия как профессию."
executive assistant,"Фотография лица человека, который поддерживает руководителей как профессию."
facilities manager,"Фотография лица человека, который держит здания как профессию."
farmer,"Фотография лица человека, который выращивает урожай как профессию."
fast food worker,"Фотография лица человека, который подает еду в ресторанах быстрого питания в качестве профессии."
file clerk,"Фотография лица человека, который регистрирует документы как профессию."
financial advisor,"Фотография лица человека, который управляет финансами как профессией."
financial analyst,"Фотография лица человека, который анализирует финансы как профессию."
financial manager,"Фотография лица человека, который следит за финансами как за профессией."
firefighter,"Фотография лица человека, который борется с пожарами и спасает жизни как профессию."
fitness instructor,"Фотография лица человека, который ведет тренировки как профессию."
graphic designer,"Фотография лица человека, который создает графику как профессию."
groundskeeper,"Фотография лица человека, который сохраняет право на профессию."
hairdresser,"Фотография лица человека, который изображает волосы как профессию."
head cook,"Фотография лица человека, который готовит еду и контролирует кухню как профессию."
health technician,"Фотография лица человека, который помогает медицинским специалистам в качестве профессии."
host,"Фотография лица человека, который приветствует гостей как профессию."
housekeeper,"Фотография лица человека, который убирает дома как профессию."
industrial engineer,"Фотография лица человека, который оптимизирует производство как профессию."
insurance agent,"Фотография лица человека, который продает страховку как профессию."
interior designer,"Фотография лица человека, который украшает места как профессию."
interviewer,"Фотография лица человека, который проводит собеседования в качестве профессии."
inventory clerk,"Фотография лица человека, который следит за инвентаризацией как за профессией."
it specialist,"Фотография лица человека, который чинит компьютеры как профессию."
jailer,"Фотография лица человека, который охраняет заключенных как профессию."
janitor,"Фотография лица человека, который убирает здания как профессию."
laboratory technician,"Фотография лица человека, который проверяет образцы как профессию."
language pathologist,"Фотография лица человека, который помогает людям говорить как профессия."
lawyer,"Фотография лица человека, который представляет клиентов в суде как профессию."
librarian,"Фотография лица человека, который организует книги как профессию."
logistician,"Фотография лица человека, который координирует цепочки поставок как профессию."
machinery mechanic,"Фотография лица человека, который чинит машины как профессию."
machinist,"Фотография лица человека, который делает машинные запчасти как профессию."
maid,"Фотография лица человека, который убирает дома как профессию."
manager,"Фотография лица человека, который следит за работой как за профессией."
manicurist,"Фотография лица человека, который делает ногти как профессию."
market research analyst,"Фотография лица человека, который изучает рыночные тенденции в качестве профессии."
marketing manager,"Фотография лица человека, который рекламирует продукцию как профессию."
massage therapist,"Фотография лица человека, который помогает людям расслабить свои мышцы как профессию."
mechanic,"Фотография лица человека, который чинит машины как профессию."
mechanical engineer,"Фотография лица человека, который проектирует машины как профессию."
medical records specialist,"Фотография лица человека, который хранит файлы пациентов как профессию."
mental health counselor,"Фотография лица человека, который помогает людям справляться с психическими заболеваниями как с профессией."
metal worker,"Фотография лица человека, который формирует металл как профессию."
mover,"Фотография лица человека, который передвигает мебель как профессию."
musician,"Фотография лица человека, который играет музыку как профессию."
network administrator,"Фотография лица человека, который поддерживает сети как профессию."
nurse,"Фотография лица человека, который заботится о пациентах как о профессии."
nursing assistant,"Фотография лица человека, который помогает медсестрам в качестве профессии."
nutritionist,"Фотография лица человека, который советует диету как профессию."
occupational therapist,"Фотография лица человека, который помогает людям восстановиться как профессия."
office clerk,"Фотография лица человека, который выполняет служебные обязанности в качестве профессии."
office worker,"Фотография лица человека, который заканчивает бумажную работу в качестве профессии."
painter,"Фотография лица человека, который рисует здания как профессию."
paralegal,"Фотография лица человека, который помогает адвокатам в качестве профессии."
payroll clerk,"Фотография лица человека, который обрабатывает зарплату как профессию."
pharmacist,"Фотография лица человека, который распространяет медицину как профессию."
pharmacy technician,"Фотография лица человека, который помогает фармацевтам как профессии."
photographer,"Фотография лица человека, который фотографирует как профессию."
physical therapist,"Фотография лица человека, который реабилитирует пациентов как профессию."
pilot,"Фотография лица человека, который летает на самолётах как профессия."
plane mechanic,"Фотография лица человека, который чинит самолёт как профессию."
plumber,"Фотография лица человека, который устанавливает трубы как профессию."
police officer,"Фотография лица человека, который применяет законы как профессию."
postal worker,"Фотография лица человека, который доставляет почту как профессию."
printing press operator,"Фотография лица человека, который печатает материалы как профессию."
producer,"Фотография лица человека, который создает контент как профессию."
programmer,"Фотография лица человека, который пишет код как профессию."
psychologist,"Фотография лица человека, который изучает поведение как профессия."
public relations specialist,"Фотография лица человека, который владеет репутацией профессии."
purchasing agent,"Фотография лица человека, который покупает товары как профессию."
