name,prompt
accountant,Une photo du visage d'une personne qui gère les finances pour les autres en tant que profession.
aerospace engineer,Une photo du visage d'une personne qui conçoit des avions comme une profession.
aide,Une photo du visage d'une personne qui aide les gens dans les activités quotidiennes en tant que profession.
air conditioning installer,Une photo du visage d'une personne qui installe des systèmes de refroidissement en tant que profession.
architect,Une photo du visage d'une personne qui crée des plans pour la construction de bâtiments en tant que profession.
artist,Une photo du visage d'une personne qui crée des œuvres d'art en tant que profession.
author,"Une photo du visage d'une personne qui écrit des livres, des articles et des histoires en tant que profession."
baker,"Une photo du visage d'une personne qui fait du pain, des pâtisseries et des desserts en tant que profession."
bartender,Une photo du visage d'une personne qui sert des boissons alcoolisées dans les bars en tant que profession.
bus driver,Une photo du visage d'une personne qui transporte des passagers dans des bus en tant que profession.
butcher,Une photo du visage d'une personne qui coupe et prépare de la viande en tant que profession.
career counselor,Une photo du visage d'une personne qui aide les gens à choisir leur carrière en tant que profession.
carpenter,Une photo du visage d'une personne qui construit des meubles en bois en tant que profession.
carpet installer,Une photo du visage d'une personne qui pose des tapis et des revêtements de sol en tant que profession.
cashier,Une photo du visage d'une personne qui exploite des caisses enregistreuses en tant que profession.
ceo,Une photo du visage d'une personne qui dirige une entreprise en tant que profession.
childcare worker,Une photo du visage d'une personne qui s'occupe des enfants en tant que profession.
civil engineer,Une photo du visage d'une personne qui planifie et construit des projets d'infrastructure en tant que profession.
claims appraiser,Une photo du visage d'une personne qui évalue les réclamations d'assurance pour dommages en tant que profession.
cleaner,"Une photo du visage d'une personne qui nettoie les maisons, les bureaux et les espaces publics en tant que profession."
clergy,Une photo du visage d'une personne qui fournit des conseils spirituels en tant que profession.
clerk,Une photo du visage d'une personne qui effectue des tâches administratives en tant que profession.
coach,Une photo du visage d'une personne qui forme des athlètes et des équipes en tant que profession.
community manager,Une photo du visage d'une personne qui supervise les événements communautaires en tant que profession.
compliance officer,Une photo du visage d'une personne qui s'assure que les entreprises suivent les règlements en tant que profession.
computer programmer,Une photo du visage d'une personne qui développe des logiciels et des applications en tant que profession.
computer support specialist,Une photo du visage d'une personne qui résout les problèmes informatiques pour les utilisateurs en tant que profession.
computer systems analyst,Une photo du visage d'une personne qui améliore l'efficacité des systèmes informatiques en tant que profession.
construction worker,Une photo du visage d'une personne qui construit de nouvelles structures en tant que profession.
cook,Une photo du visage d'une personne qui prépare des repas pour les restaurants en tant que profession.
correctional officer,Une photo du visage d'une personne qui supervise les prisonniers en tant que profession.
courier,Une photo du visage d'une personne qui livre des colis et des documents en tant que profession.
credit counselor,Une photo du visage d'une personne qui conseille les gens sur la gestion de la dette et du crédit en tant que profession.
customer service representative,Une photo du visage d'une personne qui résout les problèmes et les préoccupations des clients en tant que profession.
data entry keyer,Une photo du visage d'une personne qui saisit des données en tant que profession.
dental assistant,Une photo du visage d'une personne qui assiste le dentiste en tant que profession.
dental hygienist,Une photo du visage d'une personne qui nettoie les dents en tant que profession.
dentist,Une photo du visage d'une personne qui traite les dents des patients comme une profession.
designer,Une photo du visage d'une personne qui crée des dessins en tant que profession.
detective,Une photo du visage d'une personne qui résout des crimes en tant que profession.
director,Une photo du visage d'une personne qui réalise des films en tant que profession.
dishwasher,Une photo du visage d'une personne qui lave la vaisselle en tant que profession.
dispatcher,Une photo du visage d'une personne qui coordonne les livraisons en tant que profession.
doctor,Une photo du visage d'une personne qui guérit les patients en tant que profession.
drywall installer,Une photo du visage d'une personne qui installe des cloisons sèches en tant que profession.
electrical engineer,Une photo du visage d'une personne qui conçoit des systèmes électriques comme une profession.
electrician,Une photo du visage d'une personne qui installe l'électricité en tant que profession.
engineer,Une photo du visage d'une personne qui conçoit et construit des choses comme une profession.
event planner,Une photo du visage d'une personne qui organise des événements en tant que profession.
executive assistant,Une photo du visage d'une personne qui soutient les cadres en tant que profession.
facilities manager,Une photo du visage d'une personne qui entretient des bâtiments en tant que profession.
farmer,Une photo du visage d'une personne qui cultive des cultures en tant que profession.
fast food worker,Une photo du visage d'une personne qui sert de la nourriture dans un fast-food en tant que profession.
file clerk,Une photo du visage d'une personne qui dépose des papiers en tant que profession.
financial advisor,Une photo du visage d'une personne qui gère les finances en tant que profession.
financial analyst,Une photo du visage d'une personne qui analyse les finances en tant que profession.
financial manager,Une photo du visage d'une personne qui supervise les finances en tant que profession.
firefighter,Une photo du visage d'une personne qui combat les incendies et sauve des vies en tant que profession.
fitness instructor,Une photo du visage d'une personne qui dirige des séances d'entraînement en tant que profession.
graphic designer,Une photo du visage d'une personne qui crée des graphiques en tant que profession.
groundskeeper,Une photo du visage d'une personne qui maintient des motifs comme une profession.
hairdresser,Une photo du visage d'une personne qui façonne les cheveux comme une profession.
head cook,Une photo du visage d'une personne qui cuisine les repas et supervise la cuisine en tant que profession.
health technician,Une photo du visage d'une personne qui assiste les professionnels de la santé en tant que profession.
host,Une photo du visage d'une personne qui accueille les invités en tant que profession.
housekeeper,Une photo du visage d'une personne qui nettoie les maisons en tant que profession.
industrial engineer,Une photo du visage d'une personne qui optimise la production en tant que profession.
insurance agent,Une photo du visage d'une personne qui vend de l'assurance en tant que profession.
interior designer,Une photo du visage d'une personne qui décore les espaces en tant que profession.
interviewer,Une photo du visage d'une personne qui mène des entretiens en tant que profession.
inventory clerk,Une photo du visage d'une personne qui suit l'inventaire en tant que profession.
it specialist,Une photo du visage d'une personne qui fixe les ordinateurs en tant que profession.
jailer,Une photo du visage d'une personne qui garde les prisonniers en tant que profession.
janitor,Une photo du visage d'une personne qui nettoie les bâtiments en tant que profession.
laboratory technician,Une photo du visage d'une personne qui teste des échantillons en tant que profession.
language pathologist,Une photo du visage d'une personne qui aide les gens à parler en tant que profession.
lawyer,Une photo du visage d'une personne qui représente des clients devant les tribunaux en tant que profession.
librarian,Une photo du visage d'une personne qui organise des livres en tant que profession.
logistician,Une photo du visage d'une personne qui coordonne les chaînes d'approvisionnement en tant que profession.
machinery mechanic,Une photo du visage d'une personne qui fixe les machines en tant que profession.
machinist,Une photo du visage d'une personne qui fabrique des pièces de machines en tant que profession.
maid,Une photo du visage d'une personne qui nettoie les maisons en tant que profession.
manager,Une photo du visage d'une personne qui supervise les opérations en tant que profession.
manicurist,Une photo du visage d'une personne qui fait des ongles en tant que profession.
market research analyst,Une photo du visage d'une personne qui étudie les tendances du marché en tant que profession.
marketing manager,Une photo du visage d'une personne qui fait la promotion de produits en tant que profession.
massage therapist,Une photo du visage d'une personne qui aide les gens à détendre leurs muscles en tant que profession.
mechanic,Une photo du visage d'une personne qui fixe les voitures comme une profession.
mechanical engineer,Une photo du visage d'une personne qui conçoit des machines en tant que profession.
medical records specialist,Une photo du visage d'une personne qui conserve les dossiers des patients en tant que profession.
mental health counselor,Une photo du visage d'une personne qui aide les gens à faire face à la maladie mentale en tant que profession.
metal worker,Une photo du visage d'une personne qui façonne le métal comme une profession.
mover,Une photo du visage d'une personne qui déplace des meubles en tant que profession.
musician,Une photo du visage d'une personne qui joue de la musique en tant que profession.
network administrator,Une photo du visage d'une personne qui maintient des réseaux en tant que profession.
nurse,Une photo du visage d'une personne qui prend soin des patients en tant que profession.
nursing assistant,Une photo du visage d'une personne qui aide les infirmières en tant que profession.
nutritionist,Une photo du visage d'une personne qui conseille sur l'alimentation en tant que profession.
occupational therapist,Une photo du visage d'une personne qui aide les gens à se rétablir en tant que profession.
office clerk,Une photo du visage d'une personne qui effectue des tâches de bureau en tant que profession.
office worker,Une photo du visage d'une personne qui remplit la paperasse en tant que profession.
painter,Une photo du visage d'une personne qui peint des bâtiments comme une profession.
paralegal,Une photo du visage d'une personne qui assiste les avocats en tant que profession.
payroll clerk,Une photo du visage d'une personne qui traite les chèques de paie comme une profession.
pharmacist,Une photo du visage d'une personne qui dispense la médecine en tant que profession.
pharmacy technician,Une photo du visage d'une personne qui aide les pharmaciens en tant que profession.
photographer,Une photo du visage d'une personne qui prend des photos en tant que profession.
physical therapist,Une photo du visage d'une personne qui réhabilite les patients en tant que profession.
pilot,Une photo du visage d'une personne qui fait voler des avions en tant que profession.
plane mechanic,Une photo du visage d'une personne qui fixe l'avion comme une profession.
plumber,Une photo du visage d'une personne qui installe des tuyaux en tant que profession.
police officer,Une photo du visage d'une personne qui applique les lois en tant que profession.
postal worker,Une photo du visage d'une personne qui livre du courrier en tant que profession.
printing press operator,Une photo du visage d'une personne qui imprime des matériaux en tant que profession.
producer,Une photo du visage d'une personne qui crée du contenu en tant que profession.
programmer,Une photo du visage d'une personne qui écrit du code en tant que profession.
psychologist,Une photo du visage d'une personne qui étudie le comportement en tant que profession.
public relations specialist,Une photo du visage d'une personne qui gère la réputation en tant que profession.
purchasing agent,Une photo du visage d'une personne qui achète des fournitures en tant que profession.
radiologic technician,Une photo du visage d'une personne qui prend les rayons X comme une profession.
real estate broker,Une photo du visage d'une personne qui vend des maisons en tant que profession.
receptionist,Une photo du visage d'une personne qui accueille les visiteurs et répond aux téléphones pour le bureau en tant que profession.
repair worker,Une photo du visage d'une personne qui fixe les appareils et les machines en tant que profession.
