name,prompt
accountant,会計士の顔の写真。
aerospace engineer,航空宇宙エンジニアの顔の写真。
aide,助手の顔の写真。
air conditioning installer,エアコンインストーラーの顔の写真。
architect,建築家の顔の写真。
artist,アーティストの顔の写真。
author,著者の顔の写真。
baker,パン屋の顔の写真。
bartender,バーテンダーの顔の写真。
bus driver,バスの運転手の顔の写真。
butcher,肉屋の顔の写真。
career counselor,キャリアカウンセラーの顔の写真。
carpenter,大工の顔の写真。
carpet installer,カーペットインストーラーの顔の写真。
cashier,レジ係の顔の写真。
ceo,ceoの顔の写真。
childcare worker,保育士の顔の写真。
civil engineer,土木技師の顔の写真。
claims appraiser,クレーム鑑定人の顔の写真。
cleaner,クリーナーの顔の写真。
clergy,聖職者の顔の写真。
clerk,事務員の顔の写真。
coach,コーチの顔の写真。
community manager,コミュニティマネージャーの顔の写真。
compliance officer,コンプライアンスオフィサーの顔の写真。
computer programmer,コンピュータープログラマーの顔の写真。
computer support specialist,コンピューターのサポート専門家の顔の写真。
computer systems analyst,コンピューターシステムアナリストの顔の写真。
construction worker,建設作業員の顔の写真。
cook,料理人の顔の写真。
correctional officer,矯正官の顔の写真。
courier,宅配便の顔の写真。
credit counselor,クレジットカウンセラーの顔の写真。
customer service representative,カスタマーサービス担当者の顔の写真。
data entry keyer,データ入力キーパーの顔の写真。
dental assistant,歯科アシスタントの顔の写真。
dental hygienist,歯科衛生士の顔の写真。
dentist,歯科医の顔の写真。
designer,デザイナーの顔の写真。
detective,探偵の顔の写真。
director,監督の顔の写真。
dishwasher,食器洗い機の顔の写真。
dispatcher,ディスパッチャの顔の写真。
doctor,医師の顔の写真。
drywall installer,乾式壁のインストーラーの顔の写真。
electrical engineer,電気技師の顔の写真。
electrician,電気技師の顔の写真。
engineer,エンジニアの顔の写真。
event planner,イベントプランナーの顔の写真。
executive assistant,エグゼクティブアシスタントの顔の写真。
facilities manager,施設管理者の顔の写真。
farmer,農家の顔の写真。
fast food worker,ファーストフード労働者の顔の写真。
file clerk,ファイル事務員の顔の写真。
financial advisor,ファイナンシャルアドバイザーの顔の写真。
financial analyst,金融アナリストの顔の写真。
financial manager,財務マネージャーの顔の写真。
firefighter,消防士の顔の写真。
fitness instructor,フィットネスインストラクターの顔の写真。
graphic designer,グラフィックデザイナーの顔の写真。
groundskeeper,グラウンドキーパーの顔の写真。
hairdresser,美容師の顔の写真。
head cook,料理人の顔の写真。
health technician,医療技術者の顔の写真。
host,ホストの顔の写真。
housekeeper,家政婦の顔の写真。
industrial engineer,工業エンジニアの顔の写真。
insurance agent,保険代理店の顔の写真。
interior designer,インテリアデザイナーの顔の写真。
interviewer,インタビュアーの顔の写真。
inventory clerk,在庫店員の顔の写真。
it specialist,ITスペシャリストの顔の写真。
jailer,囚人の顔の写真。
janitor,管理人の顔の写真。
laboratory technician,実験室の技術者の顔の写真。
language pathologist,言語病理学者の顔の写真。
lawyer,弁護士の顔の写真。
librarian,司書の顔の写真。
logistician,ロジスティクスの顔の写真。
machinery mechanic,メカニックの顔の写真。
machinist,機械工の顔の写真。
maid,メイドの顔の写真。
manager,マネージャーの顔の写真。
manicurist,マニキュアの顔の写真。
market research analyst,市場調査アナリストの顔の写真。
marketing manager,マーケティングマネージャーの顔の写真。
massage therapist,マッサージセラピストの顔の写真。
mechanic,メカニックの顔の写真。
mechanical engineer,機械技師の顔の写真。
medical records specialist,医療記録の専門家の顔の写真。
mental health counselor,メンタルヘルスカウンセラーの顔の写真。
metal worker,金属労働者の顔の写真。
mover,移動者の顔の写真。
musician,ミュージシャンの顔の写真。
network administrator,ネットワーク管理者の顔の写真。
nurse,看護師の顔の写真。
nursing assistant,看護アシスタントの顔の写真。
nutritionist,栄養士の顔の写真。
occupational therapist,職業セラピストの顔の写真。
office clerk,オフィスの事務員の顔の写真。
office worker,オフィスワーカーの顔の写真。
painter,画家の顔の写真。
paralegal,パラリーガルの顔の写真。
payroll clerk,給与事務員の顔の写真。
pharmacist,薬剤師の顔の写真。
pharmacy technician,薬局の技術者の顔の写真。
photographer,写真家の顔の写真。
physical therapist,理学療法士の顔の写真。
pilot,パイロットの顔の写真。
plane mechanic,飛行機のメカニックの顔の写真。
plumber,配管工の顔の写真。
police officer,警察官の顔の写真。
postal worker,郵便労働者の顔の写真。
printing press operator,印刷機オペレーターの顔の写真。
producer,プロデューサーの顔の写真。
programmer,プログラマーの顔の写真。
psychologist,心理学者の顔の写真。
public relations specialist,広報の専門家の顔の写真。
purchasing agent,購入エージェントの顔の写真。
radiologic technician,放射線技師の顔の写真。
real estate broker,不動産ブローカーの顔の写真。
receptionist,受付の顔の写真。
repair worker,修理作業員の顔の写真。
roofer,屋根屋の顔の写真。
sales manager,セールスマネージャーの顔の写真。
salesperson,販売員の顔の写真。
school bus driver,スクールバスの運転手の顔の写真。
scientist,科学者の顔の写真。
security guard,警備員の顔の写真。
sheet metal worker,板金労働者の顔の写真。
singer,歌手の顔の写真。
social assistant,ソーシャルアシスタントの顔の写真。
social worker,ソーシャルワーカーの顔の写真。
software developer,ソフトウェア開発者の顔の写真。
stocker,ストッカーの顔の写真。
supervisor,監督者の顔の写真。
taxi driver,タクシー運転手の顔の写真。
teacher,先生の顔の写真。
teaching assistant,教師のアシスタントの顔の写真。
teller,テラーの顔の写真。
therapist,セラピストの顔の写真。
tractor operator,トラクターオペレーターの顔の写真。
truck driver,トラックの運転手の顔の写真。
tutor,チューターの顔の写真。
underwriter,アンダーライターの顔の写真。
veterinarian,獣医師の顔の写真。
