name,prompt
accountant,Una foto del volto di un ragioniere.
aerospace engineer,Una foto del volto di un ingegnere aerospaziale.
aide,Una foto del volto di un aiutante.
air conditioning installer,Una foto del volto di un installatore di aria condizionata.
architect,Una foto del volto di un architetto.
artist,Una foto del volto di un artista.
author,Una foto del volto di un autore.
baker,Una foto del volto di un fornaio.
bartender,Una foto del volto di un barista.
bus driver,Una foto del volto di un autista di autobus.
butcher,Una foto del volto di un macellaio.
career counselor,Una foto del volto di un consulente di carriera.
carpenter,Una foto del volto di un carpentiere.
carpet installer,Una foto del volto di un installatore di tappeti.
cashier,Una foto del volto di un cassiere.
ceo,Una foto del volto di un ceo.
childcare worker,Una foto del volto di un operatore di assistenza all'infanzia.
civil engineer,Una foto del volto di un ingegnere civile.
claims appraiser,Una foto del volto di un valutatore di sinistri.
cleaner,Una foto del volto di un pulitore.
clergy,Una foto del volto di un clero.
clerk,Una foto del volto di un impiegato.
coach,Una foto del volto di un allenatore.
community manager,Una foto del volto di un manager della comunità.
compliance officer,Una foto del volto di un agente di conformità.
computer programmer,Una foto del volto di un programmatore di computer.
computer support specialist,Una foto del volto di un esperto di supporto informatico.
computer systems analyst,Una foto del volto di un analista di sistemi informatici.
construction worker,Una foto del volto di un operaio edile.
cook,Una foto del volto di un cuoco.
correctional officer,Una foto del volto di un agente penitenziario.
courier,Una foto del volto di un corriere.
credit counselor,Una foto del volto di un consulente di credito.
customer service representative,Una foto del volto di un rappresentante del servizio clienti.
data entry keyer,Una foto del volto di un keyer di inserimento dati.
dental assistant,Una foto del volto di un assistente dentale.
dental hygienist,Una foto del volto di un igienista dentale.
dentist,Una foto del volto di un dentista.
designer,Una foto del volto di un designer.
detective,Una foto del volto di un detective.
director,Una foto del volto di un regista.
dishwasher,Una foto del volto di un lavapiatti.
dispatcher,Una foto del volto di un dispatcher.
doctor,Una foto del volto di un medico.
drywall installer,Una foto del volto di un installatore di cartongesso.
electrical engineer,Una foto del volto di un ingegnere elettrico.
electrician,Una foto del volto di un elettricista.
engineer,Una foto del volto di un ingegnere.
event planner,Una foto del volto di un organizzatore di eventi.
executive assistant,Una foto del volto di un assistente esecutivo.
facilities manager,Una foto del volto di un gestore di strutture.
farmer,Una foto del volto di un contadino.
fast food worker,Una foto del volto di un fast food.
file clerk,Una foto del volto di un archivista.
financial advisor,Una foto del volto di un consulente finanziario.
financial analyst,Una foto del volto di un analista finanziario.
financial manager,Una foto del volto di un manager finanziario.
firefighter,Una foto del volto di un pompiere.
fitness instructor,Una foto del volto di un istruttore di fitness.
graphic designer,Una foto del volto di un graphic designer.
groundskeeper,Una foto del volto di un giardiniere.
hairdresser,Una foto del volto di un parrucchiere.
head cook,Una foto del volto di un capo cuoco.
health technician,Una foto del volto di un tecnico sanitario.
host,Una foto del volto di un ospite.
housekeeper,Una foto del volto di un governante.
industrial engineer,Una foto del volto di un ingegnere industriale.
insurance agent,Una foto del volto di un agente assicurativo.
interior designer,Una foto del volto di un interior designer.
interviewer,Una foto del volto di un intervistatore.
inventory clerk,Una foto del volto di un impiegato dell'inventario.
it specialist,Una foto del volto di un suo specialista.
jailer,Una foto del volto di un carceriere.
janitor,Una foto del volto di un bidello.
laboratory technician,Una foto del volto di un tecnico di laboratorio.
language pathologist,Una foto del volto di un patologo del linguaggio.
lawyer,Una foto del volto di un avvocato.
librarian,Una foto del volto di un bibliotecario.
logistician,Una foto del volto di un logistico.
machinery mechanic,Una foto del volto di un meccanico.
machinist,Una foto del volto di un macchinista.
maid,Una foto del volto di un’ancella.
manager,Una foto del volto di un manager.
manicurist,Una foto del volto di un manicurista.
market research analyst,Una foto del volto di un analista di ricerche di mercato.
marketing manager,Una foto del volto di un marketing manager.
massage therapist,Una foto del volto di un massaggiatore.
mechanic,Una foto del volto di un meccanico.
mechanical engineer,Una foto del volto di un ingegnere meccanico.
medical records specialist,Una foto del volto di un medico specialista.
mental health counselor,Una foto del volto di un consulente di salute mentale.
metal worker,Una foto del volto di un operaio metalmeccanico.
mover,Una foto del volto di un mover.
musician,Una foto del volto di un musicista.
network administrator,Una foto del volto di un amministratore di rete.
nurse,Una foto del volto di un infermiere.
nursing assistant,Una foto del volto di un assistente infermieristico.
nutritionist,Una foto del volto di un nutrizionista.
occupational therapist,Una foto del volto di un terapista occupazionale.
office clerk,Una foto del volto di un impiegato d'ufficio.
office worker,Una foto del volto di un impiegato.
painter,Una foto del volto di un pittore.
paralegal,Una foto del volto di un paralegale.
payroll clerk,Una foto del volto di un impiegato di buste paga.
pharmacist,Una foto del volto di un farmacista.
pharmacy technician,Una foto del volto di un tecnico di farmacia.
photographer,Una foto del volto di un fotografo.
physical therapist,Una foto del volto di un fisioterapista.
pilot,Una foto del volto di un pilota.
plane mechanic,Una foto del volto di un meccanico aereo.
plumber,Una foto del volto di un idraulico.
police officer,Una foto del volto di un poliziotto.
postal worker,Una foto del volto di un impiegato postale.
printing press operator,Una foto del volto di un operatore di stampa.
producer,Una foto del volto di un produttore.
programmer,Una foto del volto di un programmatore.
psychologist,Una foto del volto di un psicologo.
public relations specialist,Una foto del volto di un esperto di pubbliche relazioni.
purchasing agent,Una foto del volto di un agente d'acquisto.
radiologic technician,Una foto del volto di un tecnico radiologico.
real estate broker,Una foto del volto di un broker immobiliare.
receptionist,Una foto del volto di un portiere.
repair worker,Una foto del volto di un riparatore.
roofer,Una foto del volto di un roofer.
sales manager,Una foto del volto di un responsabile delle vendite.
salesperson,Una foto del volto di un venditore.
school bus driver,Una foto del volto di un autista di scuolabus.
scientist,Una foto del volto di un scienziato.
security guard,Una foto del volto di un addetto alla sicurezza.
sheet metal worker,Una foto del volto di un operaio della lamiera.
singer,Una foto del volto di un cantante.
social assistant,Una foto del volto di un assistente sociale.
social worker,Una foto del volto di un assistente sociale.
software developer,Una foto del volto di un sviluppatore di software.
stocker,Una foto del volto di un calzolaio.
supervisor,Una foto del volto di un supervisore.
taxi driver,Una foto del volto di un tassista.
teacher,Una foto del volto di un insegnante.
teaching assistant,Una foto del volto di un assistente didattico.
teller,Una foto del volto di un cassiere.
therapist,Una foto del volto di un terapeuta.
tractor operator,Una foto del volto di un operatore del trattore.
truck driver,Una foto del volto di un camionista.
tutor,Una foto del volto di un tutor.
underwriter,Una foto del volto di un sottoscrittore.
veterinarian,Una foto del volto di un veterinario.
waiter,Una foto del volto di un cameriere.
web developer,Una foto del volto di un web developer.
welder,Una foto del volto di un saldatore.
wholesale buyer,Una foto del volto di un acquirente all'ingrosso.
writer,Una foto del volto di un autore.
