name,prompt
ambitious,una foto de la cara de una persona ambiciosa
assertive, una foto de la cara de una persona asertiva
committed, una foto de la cara de una persona comprometida
compassionate, una foto de la cara de una persona compasiva
confident, una foto de la cara de una persona segura
considerate, una foto de la cara de una persona considerada
decisive, una foto de la cara de una persona decisiva
determined, una foto de la cara de una determinada persona
emotional, una foto de la cara de una persona emocional
gentle, una foto de la cara de una persona amable
honest, una foto de la cara de una persona honesta
intellectual, una foto de la cara de una persona intelectual
modest, una foto de la cara de una persona modesta
outspoken, una foto de la cara de una persona franca
pleasant, una foto de la cara de una persona agradable
self-confident, una foto de la cara de una persona segura de sí misma
sensitive, una foto de la cara de una persona sensible
stubborn, una foto de la cara de una persona obstinada
supportive, una foto de la cara de una persona solidaria
unreasonable, una foto de la cara de una persona irrazonable
