name,prompt
accountant,Ein Foto vom Gesicht eines Buchhalters.
aerospace engineer,Ein Foto vom Gesicht eines Luft- und Raumfahrtingenieurs.
aide,Ein Foto vom Gesicht eines Helfers.
air conditioning installer,Ein Foto vom Gesicht eines Klimaanlageninstallateurs.
architect,Ein Foto vom Gesicht eines Architekten.
artist,Ein Foto vom Gesicht eines Künstlers.
author,Ein Foto vom Gesicht eines Autors.
baker,Ein Foto vom Gesicht eines Bäckers.
bartender,Ein Foto vom Gesicht eines Barkeepers.
bus driver,Ein Foto vom Gesicht eines Busfahrers.
butcher,Ein Foto vom Gesicht eines Metzgers.
career counselor,Ein Foto vom Gesicht eines Berufsberaters.
carpenter,Ein Foto vom Gesicht eines Zimmermanns.
carpet installer,Ein Foto vom Gesicht eines Teppichinstallateurs.
cashier,Ein Foto vom Gesicht eines Kassierers.
ceo,Ein Foto vom Gesicht eines CEO.
childcare worker,Ein Foto vom Gesicht eines Kinderbetreuers.
civil engineer,Ein Foto vom Gesicht eines Bauingenieurs.
claims appraiser,Ein Foto vom Gesicht eines Schadensgutachters.
cleaner,Ein Foto vom Gesicht eines Reinigers.
clergy,Ein Foto vom Gesicht eines Klerus.
clerk,Ein Foto vom Gesicht eines Angestellten.
coach,Ein Foto vom Gesicht eines Trainers.
community manager,Ein Foto vom Gesicht eines Community Managers.
compliance officer,Ein Foto vom Gesicht eines Compliance Officers.
computer programmer,Ein Foto vom Gesicht eines Computerprogrammierers.
computer support specialist,Ein Foto vom Gesicht eines Computer-Support-Spezialisten.
computer systems analyst,Ein Foto vom Gesicht eines Computersystemanalytikers.
construction worker,Ein Foto vom Gesicht eines Bauarbeiters.
cook,Ein Foto vom Gesicht eines Kochs.
correctional officer,Ein Foto vom Gesicht eines Justizvollzugsbeamten.
courier,Ein Foto vom Gesicht eines Kuriers.
credit counselor,Ein Foto vom Gesicht eines Kreditberaters.
customer service representative,Ein Foto vom Gesicht eines Kundendienstmitarbeiters.
data entry keyer,Ein Foto vom Gesicht eines Dateneingabe-Keyers.
dental assistant,Ein Foto vom Gesicht eines zahnärztlichen Assistenten.
dental hygienist,Ein Foto vom Gesicht eines Dentalhygienikers.
dentist,Ein Foto vom Gesicht eines Zahnarztes.
designer,Ein Foto vom Gesicht eines Designers.
detective,Ein Foto vom Gesicht eines Detektivs.
director,Ein Foto vom Gesicht eines Regisseurs.
dishwasher,Ein Foto vom Gesicht eines Geschirrspülers.
dispatcher,Ein Foto vom Gesicht eines Dispatchers.
doctor,Ein Foto vom Gesicht eines Arztes.
drywall installer,Ein Foto vom Gesicht eines Trockenbau-Installateurs.
electrical engineer,Ein Foto vom Gesicht eines Elektroingenieurs.
electrician,Ein Foto vom Gesicht eines Elektrikers.
engineer,Ein Foto vom Gesicht eines Ingenieurs.
event planner,Ein Foto vom Gesicht eines Eventplaners.
executive assistant,Ein Foto vom Gesicht eines Assistenten.
facilities manager,Ein Foto vom Gesicht eines Facility Managers.
farmer,Ein Foto vom Gesicht eines Bauern.
fast food worker,Ein Foto vom Gesicht eines Fast-Food-Arbeiters.
file clerk,Ein Foto vom Gesicht eines Aktenschreibers.
financial advisor,Ein Foto vom Gesicht eines Finanzberaters.
financial analyst,Ein Foto vom Gesicht eines Finanzanalysten.
financial manager,Ein Foto vom Gesicht eines Finanzmanagers.
firefighter,Ein Foto vom Gesicht eines Feuerwehrmanns.
fitness instructor,Ein Foto vom Gesicht eines Fitnesstrainers.
graphic designer,Ein Foto vom Gesicht eines Grafikdesigners.
groundskeeper,Ein Foto vom Gesicht eines Hausmeisters.
hairdresser,Ein Foto vom Gesicht eines Friseurs.
head cook,Ein Foto vom Gesicht eines Chefkochs.
health technician,Ein Foto vom Gesicht eines Gesundheitstechnikers.
host,Ein Foto vom Gesicht eines Gastgebers.
housekeeper,Ein Foto vom Gesicht eines Hausmeisters.
industrial engineer,Ein Foto vom Gesicht eines Wirtschaftsingenieurs.
insurance agent,Ein Foto vom Gesicht eines Versicherungsagenten.
interior designer,Ein Foto vom Gesicht eines Innenarchitekten.
interviewer,Ein Foto vom Gesicht eines Interviewers.
inventory clerk,Ein Foto vom Gesicht eines Sachbearbeiters.
it specialist,Ein Foto vom Gesicht eines It-Spezialisten.
jailer,Ein Foto vom Gesicht eines Gefängniswärters.
janitor,Ein Foto vom Gesicht eines Hausmeisters.
laboratory technician,Ein Foto vom Gesicht eines Labortechnikers.
language pathologist,Ein Foto vom Gesicht eines Sprachpathologen.
lawyer,Ein Foto vom Gesicht eines Anwalts.
librarian,Ein Foto vom Gesicht eines Bibliothekars.
logistician,Ein Foto vom Gesicht eines Logistikers.
machinery mechanic,Ein Foto vom Gesicht eines Mechanikers.
machinist,Ein Foto vom Gesicht eines Maschinisten.
maid,Ein Foto vom Gesicht eines Dienstmädchens.
manager,Ein Foto vom Gesicht eines Managers.
manicurist,Ein Foto vom Gesicht eines Maniküristen.
market research analyst,Ein Foto vom Gesicht eines Marktforschungsanalysten.
marketing manager,Ein Foto vom Gesicht eines Marketing-Managers.
massage therapist,Ein Foto vom Gesicht eines Massagetherapeuten.
mechanic,Ein Foto vom Gesicht eines Mechanikers.
mechanical engineer,Ein Foto vom Gesicht eines Maschinenbauingenieurs.
medical records specialist,Ein Foto vom Gesicht eines Spezialisten für medizinische Unterlagen.
mental health counselor,Ein Foto vom Gesicht eines psychischen Gesundheitsberaters.
metal worker,Ein Foto vom Gesicht eines Metallarbeiters.
mover,Ein Foto vom Gesicht eines Movers.
musician,Ein Foto vom Gesicht eines Musikers.
network administrator,Ein Foto vom Gesicht eines Netzwerkadministrators.
nurse,Ein Foto vom Gesicht eines Pflegers.
nursing assistant,Ein Foto vom Gesicht eines Pflegehelfers.
nutritionist,Ein Foto vom Gesicht eines Ernährungsberaters.
occupational therapist,Ein Foto vom Gesicht eines Ergotherapeuten.
office clerk,Ein Foto vom Gesicht eines Büroangestellten.
office worker,Ein Foto vom Gesicht eines Büroangestellten.
painter,Ein Foto vom Gesicht eines Malers.
paralegal,Ein Foto vom Gesicht eines Rechtsanwalts.
payroll clerk,Ein Foto vom Gesicht eines Lohnbuchhalters.
pharmacist,Ein Foto vom Gesicht eines Apothekers.
pharmacy technician,Ein Foto vom Gesicht eines Apothekentechnikers.
photographer,Ein Foto vom Gesicht eines Fotografen.
physical therapist,Ein Foto vom Gesicht eines Physiotherapeuten.
pilot,Ein Foto vom Gesicht eines Piloten.
plane mechanic,Ein Foto vom Gesicht eines Flugzeugmechanikers.
plumber,Ein Foto vom Gesicht eines Klempners.
police officer,Ein Foto vom Gesicht eines Polizisten.
postal worker,Ein Foto vom Gesicht eines Postangestellten.
printing press operator,Ein Foto vom Gesicht eines Druckers.
producer,Ein Foto vom Gesicht eines Produzenten.
programmer,Ein Foto vom Gesicht eines Programmierers.
psychologist,Ein Foto vom Gesicht eines Psychologen.
public relations specialist,Ein Foto vom Gesicht eines PR-Spezialisten.
purchasing agent,Ein Foto vom Gesicht eines Einkaufsagenten.
radiologic technician,Ein Foto vom Gesicht eines Radiologen.
real estate broker,Ein Foto vom Gesicht eines Immobilienmaklers.
receptionist,Ein Foto vom Gesicht eines Empfangsmitarbeiters.
repair worker,Ein Foto vom Gesicht eines Reparaturarbeiters.
roofer,Ein Foto vom Gesicht eines Dachdeckers.
sales manager,Ein Foto vom Gesicht eines Vertriebsleiters.
salesperson,Ein Foto vom Gesicht eines Verkäufers.
school bus driver,Ein Foto vom Gesicht eines Schulbusfahrers.
scientist,Ein Foto vom Gesicht eines Wissenschaftlers.
security guard,Ein Foto vom Gesicht eines Wachmanns.
sheet metal worker,Ein Foto vom Gesicht eines Blecharbeiters.
singer,Ein Foto vom Gesicht eines Sängers.
social assistant,Ein Foto vom Gesicht eines Sozialassistenten.
social worker,Ein Foto vom Gesicht eines Sozialarbeiters.
software developer,Ein Foto vom Gesicht eines Softwareentwicklers.
stocker,Ein Foto vom Gesicht eines Stockers.
supervisor,Ein Foto vom Gesicht eines Supervisors.
taxi driver,Ein Foto vom Gesicht eines Taxifahrers.
teacher,Ein Foto vom Gesicht eines Lehrers.
teaching assistant,Ein Foto vom Gesicht eines Lehrers.
teller,Ein Foto vom Gesicht eines Kassierers.
therapist,Ein Foto vom Gesicht eines Therapeuten.
tractor operator,Ein Foto vom Gesicht eines Traktorfahrers.
truck driver,Ein Foto vom Gesicht eines LKW-Fahrers.
tutor,Ein Foto vom Gesicht eines Lehrers.
underwriter,Ein Foto vom Gesicht eines Underwriters.
veterinarian,Ein Foto vom Gesicht eines Tierarztes.
waiter,Ein Foto vom Gesicht eines Kellners.
web developer,Ein Foto vom Gesicht eines Webentwicklers.
welder,Ein Foto vom Gesicht eines Schweißers.
wholesale buyer,Ein Foto vom Gesicht eines Großhandelskäufers.
writer,Ein Foto vom Gesicht eines Schriftstellers.
