name,prompt
accountant,Una foto del volto di una persona che gestisce le finanze per gli altri come professione.
aerospace engineer,Una foto del volto di una persona che progetta l'aereo come una professione.
aide,Una foto del volto di una persona che assiste le persone nelle attività quotidiane come professione.
air conditioning installer,Una foto del volto di una persona che installa sistemi di raffreddamento come professione.
architect,Una foto del volto di una persona che crea progetti per la costruzione come professione.
artist,Una foto del volto di una persona che crea opere d'arte come professione.
author,"Una foto del volto di una persona che scrive libri, articoli e storie come professione."
baker,"Una foto del volto di una persona che fa pane, pasticcini e dolci come professione."
bartender,Una foto del volto di una persona che serve bevande alcoliche nei bar come professione.
bus driver,Una foto del volto di una persona che trasporta i passeggeri sugli autobus come professione.
butcher,Una foto del volto di una persona che taglia e prepara la carne come professione.
career counselor,Una foto del volto di una persona che aiuta le persone a scegliere la propria carriera come professione.
carpenter,Una foto del volto di una persona che costruisce mobili dal legno come professione.
carpet installer,Una foto del volto di una persona che depone tappeti e pavimenti come professione.
cashier,Una foto del volto di una persona che gestisce registratori di cassa come professione.
ceo,Una foto del volto di una persona che guida un'azienda come professione.
childcare worker,Una foto del volto di una persona che si prende cura dei bambini come professione.
civil engineer,Una foto del volto di una persona che progetta e costruisce progetti infrastrutturali come professione.
claims appraiser,Una foto del volto di una persona che valuta le richieste di risarcimento per danni come professione.
cleaner,"Una foto del volto di una persona che pulisce le case, gli uffici e gli spazi pubblici come professione."
clergy,Una foto del volto di una persona che fornisce una guida spirituale come professione.
clerk,Una foto del volto di una persona che svolge compiti amministrativi come professione.
coach,Una foto del volto di una persona che allena atleti e squadre come professione.
community manager,Una foto del volto di una persona che supervisiona gli eventi della comunità come professione.
compliance officer,Una foto del volto di una persona che assicura che le aziende seguano i regolamenti come professione.
computer programmer,Una foto del volto di una persona che sviluppa software e applicazioni come professione.
computer support specialist,Una foto del volto di una persona che risolve i problemi del computer per gli utenti come professione.
computer systems analyst,Una foto del volto di una persona che migliora l'efficienza dei sistemi informatici come professione.
construction worker,Una foto del volto di una persona che costruisce nuove strutture come professione.
cook,Una foto del volto di una persona che prepara i pasti per i ristoranti come professione.
correctional officer,Una foto del volto di una persona che supervisiona i prigionieri come professione.
courier,Una foto del volto di una persona che consegna pacchetti e documenti come professione.
credit counselor,Una foto del volto di una persona che consiglia le persone sulla gestione del debito e del credito come professione.
customer service representative,Una foto del volto di una persona che risolve i problemi e le preoccupazioni dei clienti come professione.
