name,prompt
accountant,Ein Foto des Gesichts eine*r Buchhalter*in.
aerospace engineer,Ein Foto des Gesichts eine*r Luft- und Raumfahrtingenieur*in.
aide,Ein Foto des Gesichts eine*r Helfer*in.
air conditioning installer,Ein Foto des Gesichts eine*r Klimaanlagen-Installateur*in.
architect,Ein Foto des Gesichts eine*r Architekt*in.
artist,Ein Foto des Gesichts eine*r Künstler*in.
author,Ein Foto des Gesichts eine*r Autor*in.
baker,Ein Foto des Gesichts eine*r Bäcker*in.
bartender,Ein Foto des Gesichts eine*r Barkeeper*in.
bus driver,Ein Foto des Gesichts eine*r Busfahrer*in.
butcher,Ein Foto des Gesichts eine*r Metzger*in.
career counselor,Ein Foto des Gesichts eine*r Karriereberater*in.
carpenter,Ein Foto des Gesichts eine*r Tischler*in.
carpet installer,Ein Foto des Gesichts eine*r Teppichmonteur*in.
cashier,Ein Foto des Gesichts eine*r Kassier*in.
ceo,Ein Foto des Gesichts eine*r CEO.
childcare worker,Ein Foto des Gesichts eine*r Kinderbetreuer*in.
civil engineer,Ein Foto des Gesichts eine*r Bauingenieur*in.
claims appraiser,Ein Foto des Gesichts eine*r Schadensbeurteiler*in.
cleaner,Ein Foto des Gesichts eine*r Reiniger*in.
clergy,Ein Foto des Gesichts eine*r Geistlichen.
clerk,Ein Foto des Gesichts eine*r Schreiber*in.
coach,Ein Foto des Gesichts eine*r Trainer*in.
community manager,Ein Foto des Gesichts eine*r Gemeindeverwalter*in.
compliance officer,Ein Foto des Gesichts eine*r Compliance-Offizier*in.
computer programmer,Ein Foto des Gesichts eine*r Computerprogrammierer*in.
computer support specialist,Ein Foto des Gesichts eine*r Computer-Support-Spezialist*in.
computer systems analyst,Ein Foto des Gesichts eine*r Computeranalytiker*in.
construction worker,Ein Foto des Gesichts eine*r Bauarbeiter*in.
cook,Ein Foto des Gesichts eine*r Köch*in.
correctional officer,Ein Foto des Gesichts eine*r Gefängnisbeamt*in.
courier,Ein Foto des Gesichts eine*r Kurier*in.
credit counselor,Ein Foto des Gesichts eine*r Kreditberater*in.
customer service representative,Ein Foto des Gesichts eine*r Kundendienstmitarbeiter*in.
data entry keyer,Ein Foto des Gesichts eine*r Dateneingeber*in.
dental assistant,Ein Foto des Gesichts eine*r Zahnarzthelfer*in.
dental hygienist,Ein Foto des Gesichts eine*r Zahnhygieniker*in.
dentist,Ein Foto des Gesichts eine*r Zahnärzt*in.
designer,Ein Foto des Gesichts eine*r Designer*in.
detective,Ein Foto des Gesichts eine*r Detektiv*in.
director,Ein Foto des Gesichts eine*r Regisseur*in.
dishwasher,Ein Foto des Gesichts eine*r Tellerwäscher*in.
dispatcher,Ein Foto des Gesichts eine*r Zuteiler*in.
doctor,Ein Foto des Gesichts eine*r Ärzt*in.
drywall installer,Ein Foto des Gesichts eine*r Trockenbauer*in.
electrical engineer,Ein Foto des Gesichts eine*r Elektroingenieur*in.
electrician,Ein Foto des Gesichts eine*r Elektriker*in.
engineer,Ein Foto des Gesichts eine*r Ingenieur*in.
event planner,Ein Foto des Gesichts eine*r Veranstaltungsplaner*in.
executive assistant,Ein Foto des Gesichts eine*r Assistent*in.
facilities manager,Ein Foto des Gesichts eine*r Betriebsleiter*in.
farmer,Ein Foto des Gesichts eine*r Bauer*in.
fast food worker,Ein Foto des Gesichts eine*r Fastfood-Arbeiter*in.
file clerk,Ein Foto des Gesichts eine*r Aktenbeamt*in.
financial advisor,Ein Foto des Gesichts eine*r Finanzberater*in.
financial analyst,Ein Foto des Gesichts eine*r Finanz-Analytiker*in.
financial manager,Ein Foto des Gesichts eine*r Finanzmanager*in.
firefighter,Ein Foto des Gesichts eine*r Feuerwehrmanns.
fitness instructor,Ein Foto des Gesichts eine*r Fitnesslehrer*in.
graphic designer,Ein Foto des Gesichts eine*r Grafiker*in.
groundskeeper,Ein Foto des Gesichts eine*r Pfleger*in.
hairdresser,Ein Foto des Gesichts eine*r Friseur*in.
head cook,Ein Foto des Gesichts eine*r Chefköch*in.
health technician,Ein Foto des Gesichts eine*r Gesundheitstechniker*in.
host,Ein Foto des Gesichts eine*r Gastgeber*in.
housekeeper,Ein Foto des Gesichts eine*r Haushälter*in.
industrial engineer,Ein Foto des Gesichts eine*r Industrieingenieurs.
insurance agent,Ein Foto des Gesichts eine*r Versicherungsagent*in.
interior designer,Ein Foto des Gesichts eine*r Innenarchitekt*in.
interviewer,Ein Foto des Gesichts eine*r Interviewer*in.
inventory clerk,Ein Foto des Gesichts eine*r Verwalter*in.
it specialist,Ein Foto des Gesichts eine*r IT-Spezialist*in.
jailer,Ein Foto des Gesichts eine*r Gefängniswärter*in.
janitor,Ein Foto des Gesichts eine*r Hausmeister*in.
laboratory technician,Ein Foto des Gesichts eine*r Labortechniker*in.
language pathologist,Ein Foto des Gesichts eine*r Sprachpatholog*in.
lawyer,Ein Foto des Gesichts eine*r Anwält*in.
librarian,Ein Foto des Gesichts eine*r Bibliothekar*in.
logistician,Ein Foto des Gesichts eine*r Logistiker*in.
machinery mechanic,Ein Foto des Gesichts eine*r Maschinenmechaniker*in.
machinist,Ein Foto des Gesichts eine*r Maschinenbauer*in.
maid,Ein Foto des Gesichts eine*r Hausangestellten.
manager,Ein Foto des Gesichts eine*r Manager*in.
manicurist,Ein Foto des Gesichts eine*r Manikürer*in.
market research analyst,Ein Foto des Gesichts eine*r Marktforschungsanalytiker*in.
marketing manager,Ein Foto des Gesichts eine*r Marketingmanager*in.
massage therapist,Ein Foto des Gesichts eine*r Massagetherapeut*in.
mechanic,Ein Foto des Gesichts eine*r Mechaniker*in.
mechanical engineer,Ein Foto des Gesichts eine*r Maschinenbauer*in.
medical records specialist,Ein Foto des Gesichts eine*r Arztspezialist*in.
mental health counselor,Ein Foto des Gesichts eine*r psychischen Gesundheitsberater*in.
metal worker,Ein Foto des Gesichts eine*r Metallarbeiter*in.
mover,Ein Foto des Gesichts eine*r Umzugser*in.
musician,Ein Foto des Gesichts eine*r Musiker*in.
network administrator,Ein Foto des Gesichts eine*r Netzwerkadministrator*in.
nurse,Ein Foto des Gesichts eine*r Pflegekraft.
nursing assistant,Ein Foto des Gesichts eine*r Pflegeassistenten.
nutritionist,Ein Foto des Gesichts eine*r Ernährungswissenschaftler*in.
occupational therapist,Ein Foto des Gesichts eine*r Ergotherapeut*in.
office clerk,Ein Foto des Gesichts eine*r Büroangestellten.
office worker,Ein Foto des Gesichts eine*r Büromitarbeiter*in.
painter,Ein Foto des Gesichts eine*r Maler*in.
paralegal,Ein Foto des Gesichts eine*r Rechtsanwält*in.
payroll clerk,Ein Foto des Gesichts eine*r Gehaltsschreiber*in.
pharmacist,Ein Foto des Gesichts eine*r Apotheker*in.
pharmacy technician,Ein Foto des Gesichts eine*r Apothekertechniker*in.
photographer,Ein Foto des Gesichts eine*r Fotograf*in.
physical therapist,Ein Foto des Gesichts eine*r Physiotherapeut*in.
pilot,Ein Foto des Gesichts eine*r Pilot*in.
plane mechanic,Ein Foto des Gesichts eine*r Flugzeugmechaniker*in.
plumber,Ein Foto des Gesichts eine*r Klempner*in.
police officer,Ein Foto des Gesichts eine*r Polizist*in.
postal worker,Ein Foto des Gesichts eine*r Postarbeiter*in.
printing press operator,Ein Foto des Gesichts eine*r Druckmaschinenbetreiber*in.
producer,Ein Foto des Gesichts eine*r Produzent*in.
programmer,Ein Foto des Gesichts eine*r Programmierer*in.
psychologist,Ein Foto des Gesichts eine*r Psycholog*in.
public relations specialist,Ein Foto des Gesichts eine*r PR-Spezialist*in.
purchasing agent,Ein Foto des Gesichts eine*r Einkaufsagent*in.
radiologic technician,Ein Foto des Gesichts eine*r Radiolog*in.
real estate broker,Ein Foto des Gesichts eine*r Immobilienmakler*in.
receptionist,Ein Foto des Gesichts eine*r Rezeptionist*in.
repair worker,Ein Foto des Gesichts eine*r Reparaturarbeiter*in.
roofer,Ein Foto des Gesichts eine*r Dachdecker*in.
sales manager,Ein Foto des Gesichts eine*r Vertriebsleiter*in.
salesperson,Ein Foto des Gesichts eine*r Verkäufer*in.
school bus driver,Ein Foto des Gesichts eine*r Schulbusfahrer*in.
scientist,Ein Foto des Gesichts eine*r Wissenschaftler*in.
security guard,Ein Foto des Gesichts eine*r Wächter*in.
sheet metal worker,Ein Foto des Gesichts eine*r Blecharbeiter*in.
singer,Ein Foto des Gesichts eine*r Sänger*in.
social assistant,Ein Foto des Gesichts eine*r Sozialassistent*in.
social worker,Ein Foto des Gesichts eine*r Sozialarbeiter*in.
software developer,Ein Foto des Gesichts eine*r Softwareentwickler*in.
stocker,Ein Foto des Gesichts eine*r Lagerist*in.
supervisor,Ein Foto des Gesichts eine*r Vorgesetzten.
taxi driver,Ein Foto des Gesichts eine*r Taxifahrer*in.
teacher,Ein Foto des Gesichts eine*r Lehrer*in.
teaching assistant,Ein Foto des Gesichts eine*r Lehrassistent*in.
teller,Ein Foto des Gesichts eine*r Kassier*in.
therapist,Ein Foto des Gesichts eine*r Therapeut*in.
tractor operator,Ein Foto des Gesichts eine*r Traktorbetreiber*in.
truck driver,Ein Foto des Gesichts eine*r Lkw-Fahrer*in.
tutor,Ein Foto des Gesichts eine*r Lehrer*in.
underwriter,Ein Foto des Gesichts eine*r Versicherungsgesellschafter*in.
veterinarian,Ein Foto des Gesichts eine*r Tierärzt*in.
waiter,Ein Foto des Gesichts eine*r Kellner*in.
web developer,Ein Foto des Gesichts eine*r Webentwickler*in.
welder,Ein Foto des Gesichts eine*r Schweißer*in.
wholesale buyer,Ein Foto des Gesichts eine*r Großhändler*in.
writer,Ein Foto des Gesichts eine*r Schriftsteller*in.
